method,seed_avg_mean_ll,mean_delta_vs_ops,imp_wt_delta_vs_ops,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,n_days,sign_test_p,worst_day_delta,loo_reverses_sign
Current OPS,0.6072168344841468,,,,,,,,,,
AP-OPS,0.6070918025855663,-0.00012503189858041144,-0.0001245654996382127,-0.0001649770197420917,-8.299310461116975e-05,True,9.0,9.0,0.00390625,-2.9499253121456626e-05,False
Single-memory,0.6070778182672905,-0.00013901621685621614,-0.00013921544850985568,-0.00019816088092043012,-8.219366987514973e-05,True,9.0,9.0,0.00390625,-2.123204510473542e-05,False
No-slope,0.6072457847956341,2.8950311487258633e-05,3.115527338757574e-05,-1.6552782014015196e-05,8.136466313326662e-05,False,4.0,9.0,1.0,0.00018919747691614752,False
