method,mean_imp_wt_ll,std_across_seeds,mean_pre_feedback_ll,mean_first_quarter_ll,mean_worst_day_ll,mean_delta_vs_ops,ci95_lo,ci95_hi,sign_test_p,frac_seed_days_won,n_seed_days,worst_seed_day_delta
Current OPS,0.606958465967541,4.460223178910492e-06,0.6192453098810726,0.6140873256386792,0.6138354596630758,,,,,,,
AP-OPS,0.6068339004679029,4.839970960193238e-06,0.6191718188288946,0.6138802127600984,0.6137870811337919,-0.00012503189858040735,-0.0001485908040706367,-0.0001008799946580645,1.4901161193847656e-08,1.0,27.0,-2.707475546648297e-05
Single-memory ablation,0.6068192505190311,4.720547800579636e-06,0.6192500145628203,0.6139207538103721,0.6138142276179711,-0.00013901621685619148,-0.00017160630841237266,-0.00010481905245842847,1.4901161193847656e-08,1.0,27.0,-1.1442367489733485e-05
No-slope ablation,0.6069896212409286,3.916316078272499e-06,0.6191653810109942,0.6137905979091783,0.613826358946505,2.895031148728742e-05,1.0840205748113635e-06,5.9353853731784986e-05,0.44206833839416504,0.4074074074074074,27.0,0.00022398030296111315
