day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,m5b_low_loss,m5b_high_loss,oracle_persistence
4,expanding,0.6067114478463668,60,0.6066402748908658,0.6066402748908658,low
5,expanding,0.5951172616435569,60,0.5951769330607068,0.5952493260692786,low
6,expanding,0.5983614469590945,60,0.5982173945898678,0.5982312487062518,low
7,rolling_3,0.5999795394989681,3,0.5999618437085708,0.6000631953394573,low
8,expanding,0.6003200436712497,60,0.6001394147544055,0.6002425487854915,low
9,rolling_7,0.6048464040032835,7,0.6046619870223057,0.6048590236794684,low
10,rolling_7,0.6148203441984561,7,0.6151879058738262,0.615552814569307,low
11,rolling_3,0.6109325945435131,3,0.610862779305871,0.6108758303532302,low
12,rolling_7,0.5981438083507404,7,0.5984609706801005,0.5993739309196079,low
13,rolling_7,0.6024765360232953,7,0.6024496255880429,0.6026202963484687,low
14,rolling_3,0.6038860576327891,3,0.6038139456280972,0.6038604622130217,low
15,rolling_7,0.6065467222355603,7,0.606604642916476,0.606579049762876,high
16,rolling_3,0.6100928512738389,3,0.6099414559248993,0.6099835561145119,low
17,rolling_3,0.6168074152467858,3,0.6171741288524132,0.6170323984449965,high
18,rolling_3,0.6158050884609805,3,0.6155968890882996,0.6155333461725147,high
19,rolling_7,0.6052067637587956,7,0.6052989265330202,0.6057831260408191,low
20,rolling_7,0.6066234368694906,7,0.6065206276920541,0.6066692815067941,low
21,rolling_7,0.6060857317287295,7,0.6058646531972163,0.6058855459353154,low
22,rolling_7,0.607978433716579,7,0.6076126805658687,0.6075815666066581,high
23,rolling_3,0.6078396745766158,3,0.6076510044325314,0.607703767340913,low
24,rolling_3,0.6139733245251375,3,0.6138642993811815,0.6138921394910954,low
25,rolling_7,0.6115413859057467,7,0.6112154542863674,0.6111689805234063,high
26,rolling_7,0.5993511962884995,7,0.5994357425771761,0.5999450755815353,low
27,rolling_14,0.6023526622993169,14,0.6020231713584203,0.6020551410450181,low
28,rolling_14,0.6068693734889616,14,0.6066385362666321,0.6067523658843602,low
29,rolling_7,0.6080161391339657,7,0.6079169687944606,0.6079152793448631,high
30,rolling_3,0.6087606117227782,3,0.6088249515124686,0.6088162828878351,high
