B,eta0,eta_schedule,update,block_sec,delay_sec,eps,dev_imp_wt_ll,dev_worst_day_ll
0.25,0.01,inv_sqrt,block,3600,1800,1e-05,0.42171239741035116,0.4257814762570017
1.0,0.01,inv_sqrt,block,1800,1800,1e-05,0.42171239741035116,0.4257814762570017
0.25,0.01,inv_sqrt,block,1800,1800,1e-05,0.42171239741035116,0.4257814762570017
2.0,0.01,inv_sqrt,block,1800,1800,1e-05,0.42171239741035116,0.4257814762570017
2.0,0.01,inv_sqrt,block,3600,1800,1e-05,0.42171239741035116,0.4257814762570017
1.0,0.01,inv_sqrt,block,3600,1800,1e-05,0.42171239741035116,0.4257814762570017
1.0,0.03,inv_sqrt,block,900,1800,1e-05,0.4217124096888629,0.4257800464791013
0.5,0.03,inv_sqrt,block,900,1800,1e-05,0.4217124096888629,0.4257800464791013
0.25,0.03,inv_sqrt,block,900,1800,1e-05,0.4217124096888629,0.4257800464791013
2.0,0.03,inv_sqrt,block,900,1800,1e-05,0.4217124096888629,0.4257800464791013
2.0,0.01,inv_sqrt,block,900,1800,1e-05,0.4217125927066446,0.4257816069548313
0.25,0.01,inv_sqrt,block,900,1800,1e-05,0.4217125927066446,0.4257816069548313
0.5,0.01,inv_sqrt,block,900,1800,1e-05,0.4217125927066446,0.4257816069548313
1.0,0.01,inv_sqrt,block,900,1800,1e-05,0.4217125927066446,0.4257816069548313
0.5,0.3,inv_sqrt,block,900,1800,1e-05,0.4217128368041094,0.4257653562940239
2.0,0.3,inv_sqrt,block,900,1800,1e-05,0.4217128368041094,0.4257653562940239
1.0,0.3,inv_sqrt,block,900,1800,1e-05,0.4217128368041094,0.4257653562940239
0.25,0.3,inv_sqrt,block,900,1800,1e-05,0.4217128368041094,0.4257653562940239
0.5,0.01,const,block,900,1800,1e-05,0.42171301458499394,0.42578115139828077
1.0,0.01,const,block,900,1800,1e-05,0.42171301458499394,0.42578115139828077
0.25,0.01,const,block,900,1800,1e-05,0.42171301458499394,0.42578115139828077
2.0,0.01,const,block,900,1800,1e-05,0.42171301458499394,0.42578115139828077
2.0,0.03,const,block,900,1800,1e-05,0.4217136720141301,0.4257787697233307
0.25,0.03,const,block,900,1800,1e-05,0.4217136720141301,0.4257787697233307
0.5,0.03,const,block,900,1800,1e-05,0.4217136720141301,0.4257787697233307
1.0,0.03,const,block,900,1800,1e-05,0.4217136720141301,0.4257787697233307
0.25,0.1,const,block,900,1800,1e-05,0.4217161313344027,0.4257717971914006
2.0,0.1,const,block,900,1800,1e-05,0.4217161313344027,0.4257717971914006
0.5,0.1,const,block,900,1800,1e-05,0.4217161313344027,0.4257717971914006
1.0,0.1,const,block,900,1800,1e-05,0.4217161313344027,0.4257717971914006
0.5,0.3,const,block,900,1800,1e-05,0.4217228448549926,0.42575980259792034
0.25,0.3,const,block,900,1800,1e-05,0.4217228448549926,0.42575980259792034
1.0,0.3,const,block,900,1800,1e-05,0.4217228448549926,0.42575980259792034
2.0,0.3,const,block,900,1800,1e-05,0.4217228448549926,0.42575980259792034
