method,imp_wt_ll,daily_ll,worst_day,brier,ece
equal_ensemble,0.38770410622012963,0.388795862667135,0.4071779168330054,0.11982837422260036,0.013547507111508856
short_only,0.387732268620777,0.38884891700567104,0.4072030828595485,0.11986241152396794,0.011422114539245902
online_platt,0.3877753961904767,0.38882322344102144,0.4069548709907148,0.11987456368800355,0.009307599367211296
rolling_7,0.3878282451310104,0.3889217882923723,0.40735634862583575,0.11989407147264877,0.011995877910796655
expanding,0.38794979958014286,0.38905864041419286,0.40748410952011727,0.11991303887070133,0.012360812044636904
oracle_intercept,0.3880205856411611,0.3890652940573312,0.40714814000751737,0.1199462341985737,0.011748198383994622
combined,0.38826941201967546,0.3892968528098839,0.4072622721286745,0.11993522369214728,0.011900691274626602
time_of_day,0.3884491209919431,0.3894388983914265,0.40725492315045403,0.12001072274178214,0.01210887644644164
long_only,0.3885056177107556,0.3895169565926808,0.40735634862487413,0.11997867546111665,0.013186635728839076
rolling_3,0.3886565425123178,0.3896758799294644,0.4078331186352249,0.12004587028797431,0.01480367590949829
