method,block,n,mean_residual,log_loss
expanding,0,53528,-0.006457408970024889,0.41051800000105954
expanding,1,62612,-0.0015187964285036134,0.41790380561390666
expanding,2,82596,-0.0063086656471207855,0.39193090123328117
expanding,3,93926,-0.005577679903630333,0.4012314918456323
expanding,4,130369,-0.006008589666510078,0.3514583797815896
expanding,5,112432,-0.005119357137903038,0.3824139015249741
expanding,6,104428,-0.00700020181124079,0.394078252661733
expanding,7,119244,-0.004654910553934655,0.40792035009479244
expanding,8,131171,-0.00797811590088651,0.37214454185550394
expanding,9,142451,-0.01150902236542483,0.3695378988625947
expanding,10,139874,-0.01588300074582261,0.3748985551642094
expanding,11,128078,-0.009680671392306057,0.3970809041082738
expanding,12,142961,-0.014477399150151542,0.3885330257262299
expanding,13,175256,-0.010338579595785486,0.37116593842133794
expanding,14,174315,-0.006944765804708047,0.38183278465428666
expanding,15,142949,-0.008497195445681683,0.40843867404265727
expanding,16,134488,-0.011448633121613613,0.40235891365759313
expanding,17,123286,-0.014096760314227574,0.39624010076723926
expanding,18,104404,-0.016225162957511568,0.3958481851793754
expanding,19,92748,-0.01567741557770095,0.386386775492935
expanding,20,79126,-0.012729543813189774,0.38827357336730545
expanding,21,74681,-0.013269434034321764,0.3921295481579675
expanding,22,63078,-0.011771204824161862,0.3885132943961665
expanding,23,59062,-0.013910137859518307,0.3885122977826063
long_only,0,53528,-0.004308907071796503,0.4104982746810694
long_only,1,62612,0.0010229709003879116,0.4179112157786612
long_only,2,82596,-0.00692167338631666,0.39341514645096537
long_only,3,93926,-0.007202848554845075,0.4018057240215315
long_only,4,130369,-0.00984394991285146,0.3513171985027227
long_only,5,112432,-0.005064445465217778,0.3819863394098186
long_only,6,104428,-0.006691659274579242,0.3941133084758288
long_only,7,119244,-0.0040450014204540235,0.4076693980431354
long_only,8,131171,-0.015151497299274255,0.37462858337352095
long_only,9,142451,-0.019614954889002948,0.3729013268725281
long_only,10,139874,-0.01825216777302977,0.37609437114952515
long_only,11,128078,-0.010333729988333125,0.3988423780652521
