day,block,n,mean_residual
5,0,14272,-0.006560505175817096
5,1,16127,0.0013014727993952864
5,2,20335,0.004554733083842499
5,3,22608,0.010491879884430441
5,4,30026,0.015348879837944557
5,5,34390,0.004249517069265313
5,6,35894,0.0028970250604134456
5,7,39992,0.002790770945282919
5,8,37971,0.00790975442474574
5,9,40121,0.006821464463122172
5,10,44150,0.004291409961839173
5,11,47576,0.011005789100828944
5,12,47184,0.014158485300991378
5,13,47686,0.012860826829875507
5,14,46489,0.010104344850934536
5,15,41162,0.006808862756544607
5,16,40096,0.0006025920477741385
5,17,37023,-0.0053294712633841545
5,18,30616,-0.010533586014050429
5,19,23201,-0.00894203742385822
5,20,20241,-0.012070891487941096
5,21,16293,-0.010919318970189969
5,22,17582,-0.008913134202975594
5,23,15674,-0.006360920998976303
6,0,12592,-0.004697185639985106
6,1,15181,0.0004599018427018858
6,2,17156,-0.007820985918789776
6,3,23794,-0.008585301836131666
6,4,27396,-0.005439343284014967
6,5,33605,-0.0009727282899640638
6,6,34842,-0.0008809956296362527
6,7,32482,0.0009232556191518487
6,8,32451,-7.434722362163842e-05
6,9,30377,-0.00046426132805735737
6,10,20376,-0.011235107229083895
6,11,23815,-0.0002928136079378563
6,12,32890,-0.00048269101446927326
6,13,34592,0.0038317881569203908
6,14,20738,0.0033999895894099644
6,15,20885,0.0010931885351604049
6,16,35819,-0.012399356256141981
6,17,46820,-0.020921340526789622
6,18,40700,-0.030096776880085826
6,19,31696,-0.030585205324474788
6,20,21546,-0.03361423053489248
6,21,18556,-0.026088438723628146
6,22,18829,-0.026931871034970637
6,23,17457,-0.01623376658401328
