method,is_test,day,n,log_loss,brier,ece,clicks
expanding,False,5,766709,0.4255182756429475,0.13480217380908432,0.011217198333873829,140039
expanding,False,6,644595,0.419071048887439,0.1328285209098155,0.013545938428305926,117159
expanding,True,7,1057824,0.3739704267042526,0.11509522122053856,0.01340053259781336,160747
expanding,True,8,764962,0.3857213850182088,0.11899073017536288,0.00963443466733183,119789
expanding,True,9,844277,0.40748410952011727,0.12678511313325885,0.013528359824399611,143020
rolling_3,False,5,766709,0.42486142185111,0.13446125668418482,0.00947725122577603,140039
rolling_3,False,6,644595,0.41783287053866514,0.13232264880100464,0.011955180090392974,117159
rolling_3,True,7,1057824,0.3754754083840445,0.11531091041255648,0.014560766191544583,160747
rolling_3,True,8,764962,0.38571911276912385,0.11895672326795861,0.012128293361750503,119789
rolling_3,True,9,844277,0.4078331186352249,0.1269652939818322,0.017532071582926443,143020
rolling_7,False,5,766709,0.4255182756429475,0.13480217380908432,0.011217198333873829,140039
rolling_7,False,6,644595,0.419071048887439,0.1328285209098155,0.013545938428305926,117159
rolling_7,True,7,1057824,0.3739704267042526,0.11509522122053856,0.01340053259781336,160747
rolling_7,True,8,764962,0.3854385895470285,0.11896001367503398,0.009581103862936478,119789
rolling_7,True,9,844277,0.40735634862583575,0.12675302616413892,0.012423857052192734,143020
equal_ensemble,False,5,766709,0.4248415418259659,0.1345411603143923,0.00900444682775724,140039
equal_ensemble,False,6,644595,0.41810480746688583,0.13248211605550342,0.010840135940009014,117159
equal_ensemble,True,7,1057824,0.37387499259527296,0.11499520391353701,0.015380732811883794,160747
equal_ensemble,True,8,764962,0.38533467857312664,0.11889475996870198,0.010758505453410786,119789
equal_ensemble,True,9,844277,0.4071779168330054,0.12672992783107864,0.013777585797898038,143020
long_only,False,5,766709,0.4248415418259659,0.1345411603143923,0.009004446827757239,140039
long_only,False,6,644595,0.41783287053866514,0.13232264880100464,0.011955180090392974,117159
long_only,True,7,1057824,0.3754754083840445,0.11531091041255648,0.014560766191544583,160747
long_only,True,8,764962,0.38571911276912385,0.11895672326795861,0.012128293361750503,119789
long_only,True,9,844277,0.40735634862487413,0.12675302616392,0.012423857056948002,143020
short_only,False,5,766709,0.4253504765065572,0.13473360499384646,0.009442657024057756,140039
short_only,False,6,644595,0.41895960704679597,0.13276712896974116,0.011557784745577001,117159
short_only,True,7,1057824,0.3737089116240889,0.11504250175964795,0.01242192238682985,160747
short_only,True,8,764962,0.3856347565333756,0.11897847044917823,0.009400738294042697,119789
short_only,True,9,844277,0.4072030828595485,0.1267023438672455,0.012000900031117045,143020
combined,False,5,766709,0.4248088749159884,0.13452199619699032,0.009134833369250953,140039
combined,False,6,644595,0.4176438959625253,0.13226299624219315,0.011012101779318988,117159
combined,True,7,1057824,0.37507453462068346,0.11523385629695093,0.012215577484018726,160747
combined,True,8,764962,0.38555375168029377,0.11893524511741356,0.011306106648687569,119789
combined,True,9,844277,0.4072622721286745,0.12673176662052463,0.012044886195326274,143020
time_of_day,False,5,766709,0.4248415418259659,0.1345411603143923,0.00900444682775724,140039
time_of_day,False,6,644595,0.41760580472122105,0.1322230859266726,0.012427733426731915,117159
time_of_day,True,7,1057824,0.37560003679736387,0.11537058626859613,0.014686145905094952,160747
time_of_day,True,8,764962,0.3854617352264614,0.1189621969135036,0.010474146353108005,119789
time_of_day,True,9,844277,0.40725492315045403,0.1267745338360831,0.010360882498751722,143020
oracle_intercept,False,5,766709,0.42478395263407764,0.13450064306464682,0.009549160983601259,140039
oracle_intercept,False,6,644595,0.41749060405892735,0.13225062728734954,0.008983109661178134,117159
oracle_intercept,True,7,1057824,0.37465391911249374,0.11523267176530587,0.014128217743442568,160747
oracle_intercept,True,8,764962,0.3853938230519826,0.11895100465736169,0.010162513070677313,119789
oracle_intercept,True,9,844277,0.40714814000751737,0.12675375382508694,0.010202908638753632,143020
online_platt,False,5,766709,0.42478329202459575,0.13451475866677737,0.009124143998824103,140039
online_platt,False,6,644595,0.41740199227771596,0.13221339946396832,0.00941915585300964,117159
online_platt,True,7,1057824,0.374370228802852,0.11514973412293056,0.010257809105542684,160747
online_platt,True,8,764962,0.3851445705294974,0.11889174622428297,0.008191991886313595,119789
online_platt,True,9,844277,0.4069548709907148,0.12668495426186305,0.009127851089764213,143020
