B,eta0,eta_schedule,update,block_sec,delay_sec,eps,dev_imp_wt_ll,dev_worst_day_ll
0.25,0.3,const,block,900,1800,1e-05,0.609769930897283,0.6168427045915869
0.5,0.3,const,block,900,1800,1e-05,0.609769930897283,0.6168427045915869
2.0,0.3,const,block,900,1800,1e-05,0.609769930897283,0.6168427045915869
1.0,0.3,const,block,900,1800,1e-05,0.609769930897283,0.6168427045915869
1.0,0.1,const,block,900,1800,1e-05,0.6097810830797658,0.6167937015812048
2.0,0.1,const,block,900,1800,1e-05,0.6097810830797658,0.6167937015812048
0.5,0.1,const,block,900,1800,1e-05,0.6097810830797658,0.6167937015812048
0.25,0.1,const,block,900,1800,1e-05,0.6097810830797658,0.6167937015812048
1.0,0.1,const,block,1800,1800,1e-05,0.6097943491426062,0.6167850098841012
0.5,0.1,const,block,1800,1800,1e-05,0.6097943491426062,0.6167850098841012
0.25,0.1,const,block,1800,1800,1e-05,0.6097943491426062,0.6167850098841012
2.0,0.1,const,block,1800,1800,1e-05,0.6097943491426062,0.6167850098841012
0.5,0.3,const,block,3600,1800,1e-05,0.6097956600093785,0.616844785805145
1.0,0.3,const,block,3600,1800,1e-05,0.6097956600093785,0.616844785805145
2.0,0.3,const,block,3600,1800,1e-05,0.6097956600093785,0.616844785805145
0.25,0.3,const,block,3600,1800,1e-05,0.6097956600093785,0.616844785805145
2.0,0.03,const,block,900,1800,1e-05,0.6098008381282893,0.616869207203958
0.25,0.03,const,block,900,1800,1e-05,0.6098008381282893,0.616869207203958
0.5,0.03,const,block,900,1800,1e-05,0.6098008381282893,0.616869207203958
1.0,0.03,const,block,900,1800,1e-05,0.6098008381282893,0.616869207203958
0.5,0.1,inv_sqrt,block,900,1800,1e-05,0.609817785336889,0.6167772399822636
0.25,0.1,inv_sqrt,block,900,1800,1e-05,0.609817785336889,0.6167772399822636
1.0,0.1,inv_sqrt,block,900,1800,1e-05,0.609817785336889,0.6167772399822636
2.0,0.1,inv_sqrt,block,900,1800,1e-05,0.609817785336889,0.6167772399822636
1.0,0.03,const,block,1800,1800,1e-05,0.6098185982284757,0.6169271432850728
0.5,0.03,const,block,1800,1800,1e-05,0.6098185982284757,0.6169271432850728
2.0,0.03,const,block,1800,1800,1e-05,0.6098185982284757,0.6169271432850728
0.25,0.03,const,block,1800,1800,1e-05,0.6098185982284757,0.6169271432850728
1.0,0.3,inv_sqrt,block,3600,1800,1e-05,0.609818683096402,0.6169465648337302
2.0,0.3,inv_sqrt,block,3600,1800,1e-05,0.609818683096402,0.6169465648337302
0.5,0.3,inv_sqrt,block,3600,1800,1e-05,0.609818683096402,0.6169465648337302
0.25,0.3,inv_sqrt,block,3600,1800,1e-05,0.609818683096402,0.6169465648337302
0.25,0.1,const,block,3600,1800,1e-05,0.6098239383150196,0.6170168435702862
0.5,0.1,const,block,3600,1800,1e-05,0.6098239383150196,0.6170168435702862
2.0,0.1,const,block,3600,1800,1e-05,0.6098239383150196,0.6170168435702862
1.0,0.1,const,block,3600,1800,1e-05,0.6098239383150196,0.6170168435702862
1.0,0.3,const,block,1800,1800,1e-05,0.6098251276264876,0.6169953060216157
2.0,0.3,const,block,1800,1800,1e-05,0.6098251276264876,0.6169953060216157
0.5,0.3,const,block,1800,1800,1e-05,0.6098251276264876,0.6169953060216157
0.25,0.3,const,block,1800,1800,1e-05,0.6098251276264876,0.6169953060216157
1.0,0.1,inv_sqrt,block,1800,1800,1e-05,0.6098282280474278,0.6167745316245609
0.5,0.1,inv_sqrt,block,1800,1800,1e-05,0.6098282280474278,0.6167745316245609
0.25,0.1,inv_sqrt,block,1800,1800,1e-05,0.6098282280474278,0.6167745316245609
2.0,0.1,inv_sqrt,block,1800,1800,1e-05,0.6098282280474278,0.6167745316245609
0.25,0.03,inv_sqrt,block,900,1800,1e-05,0.6098333543874125,0.6169688514839334
1.0,0.03,inv_sqrt,block,900,1800,1e-05,0.6098333543874125,0.6169688514839334
2.0,0.03,inv_sqrt,block,900,1800,1e-05,0.6098333543874125,0.6169688514839334
0.5,0.03,inv_sqrt,block,900,1800,1e-05,0.6098333543874125,0.6169688514839334
1.0,0.03,inv_sqrt,block,1800,1800,1e-05,0.6098379768119446,0.616985751269362
2.0,0.03,inv_sqrt,block,1800,1800,1e-05,0.6098379768119446,0.616985751269362
0.25,0.03,inv_sqrt,block,1800,1800,1e-05,0.6098379768119446,0.616985751269362
0.5,0.03,inv_sqrt,block,1800,1800,1e-05,0.6098379768119446,0.616985751269362
2.0,0.01,const,block,900,1800,1e-05,0.6098402428450892,0.6170785710529528
0.25,0.01,const,block,900,1800,1e-05,0.6098402428450892,0.6170785710529528
