method,imp_wt_ll,daily_ll,worst_day,brier,ece
online_platt,0.38748634095802137,0.38841956690512847,0.40630796181509454,0.11980362382739136,0.00924228554024082
equal_ensemble,0.38765577826787884,0.3886253891524924,0.40680147296856106,0.11977548618980496,0.012650301682720836
oracle_intercept,0.38771483913066906,0.388636481284971,0.4064677837453603,0.11987671067488985,0.011720618375316901
short_only,0.3877370361526751,0.38873389839356826,0.4069103684575138,0.11981096915049673,0.011090102625502467
combined,0.38795166867930236,0.38885960229685407,0.4067788823571684,0.11986505409135205,0.011392904769562711
expanding,0.3879910719133876,0.3889759975202373,0.40713828852986284,0.11986626682629112,0.012283537928373217
rolling_7,0.3880204416452997,0.3890073961494305,0.4072170049878986,0.11987148581633685,0.012603993177761846
rolling_3,0.3881637626939758,0.3890593128661513,0.4070653743876391,0.11990810455942849,0.012616933180352568
long_only,0.3881637626939758,0.3890593128661513,0.4070653743876391,0.11990810455942849,0.012616933180352568
time_of_day,0.3882788892243838,0.38914082604363603,0.40686473647597077,0.11994702737897459,0.012390915726748754
