ablation,setting,imp_wt_ll
carryover_rho,0.0,0.38795166867930236
carryover_rho,0.5,0.38793999152874376
carryover_rho,1.0,0.38792324106359877
delay_sec,0,0.3879206419368642
delay_sec,900,0.38795166867930236
delay_sec,1800,0.38795166867930236
delay_sec,3600,0.38795166867930236
update_granularity,impression,0.3877606110976856
update_granularity,block_900,0.38797345468130195
update_granularity,block_1800,0.38795166867930236
update_granularity,block_3600,0.38795166867930236
chronology,real,0.38795166867930236
chronology,shuffled,0.3879189777858559
long_term_backbone,expanding,0.3877370361526751
long_term_backbone,equal,0.38742218857050487
long_term_backbone,adaptive,0.38795166867930236
calib_complexity,intercept,0.38795166867930236
calib_complexity,platt,0.38748634095802137
