method,day,b_end,a_end
short_only,5,-0.024522074765852442,1.0
short_only,6,-0.04150226653265742,1.0
short_only,7,-0.06484939710831024,1.0
short_only,8,-0.03955137796955792,1.0
short_only,9,-0.056002470187089,1.0
combined,5,-0.019969762500150513,1.0
combined,6,0.022708803919894445,1.0
combined,7,-0.05694927446731395,1.0
combined,8,-0.019126560426239156,1.0
combined,9,-0.06292266482290904,1.0
online_platt,5,-0.010818144231288435,1.0365200459622306
online_platt,6,0.022026360836539412,1.0320459673946523
online_platt,7,-0.01615610297414958,1.0753270122961678
online_platt,8,0.0029596926568232055,1.0433057479835663
online_platt,9,-0.02672580193477703,1.0700465872604696
