B,eta0,eta_schedule,update,block_sec,delay_sec,eps,dev_imp_wt_ll,dev_worst_day_ll
0.25,0.01,inv_sqrt,block,1800,1800,1e-05,0.42161307781873997,0.4256766588971151
0.25,0.01,inv_sqrt,block,3600,1800,1e-05,0.42161307781873997,0.4256766588971151
0.5,0.01,inv_sqrt,block,1800,1800,1e-05,0.42161307781873997,0.4256766588971151
0.5,0.01,inv_sqrt,block,3600,1800,1e-05,0.42161307781873997,0.4256766588971151
1.0,0.01,inv_sqrt,block,1800,1800,1e-05,0.42161307781873997,0.4256766588971151
1.0,0.01,inv_sqrt,block,3600,1800,1e-05,0.42161307781873997,0.4256766588971151
2.0,0.01,inv_sqrt,block,1800,1800,1e-05,0.42161307781873997,0.4256766588971151
2.0,0.01,inv_sqrt,block,3600,1800,1e-05,0.42161307781873997,0.4256766588971151
1.0,0.01,const,block,3600,1800,1e-05,0.42161318482749327,0.42567607699959037
1.0,0.01,const,block,1800,1800,1e-05,0.42161318482749327,0.42567607699959037
0.25,0.01,const,block,3600,1800,1e-05,0.42161318482749327,0.42567607699959037
0.25,0.01,const,block,1800,1800,1e-05,0.42161318482749327,0.42567607699959037
2.0,0.01,const,block,3600,1800,1e-05,0.42161318482749327,0.42567607699959037
2.0,0.01,const,block,1800,1800,1e-05,0.42161318482749327,0.42567607699959037
0.5,0.01,const,block,3600,1800,1e-05,0.42161318482749327,0.42567607699959037
0.5,0.01,const,block,1800,1800,1e-05,0.42161318482749327,0.42567607699959037
0.25,0.01,inv_sqrt,block,900,1800,1e-05,0.42161330758240717,0.4256768327328539
0.5,0.01,inv_sqrt,block,900,1800,1e-05,0.42161330758240717,0.4256768327328539
1.0,0.01,inv_sqrt,block,900,1800,1e-05,0.42161330758240717,0.4256768327328539
2.0,0.01,inv_sqrt,block,900,1800,1e-05,0.42161330758240717,0.4256768327328539
1.0,0.03,inv_sqrt,block,3600,1800,1e-05,0.42161356861795823,0.4256765762889579
1.0,0.03,inv_sqrt,block,1800,1800,1e-05,0.42161356861795823,0.4256765762889579
0.5,0.03,inv_sqrt,block,3600,1800,1e-05,0.42161356861795823,0.4256765762889579
0.5,0.03,inv_sqrt,block,1800,1800,1e-05,0.42161356861795823,0.4256765762889579
0.25,0.03,inv_sqrt,block,3600,1800,1e-05,0.42161356861795823,0.4256765762889579
2.0,0.03,inv_sqrt,block,3600,1800,1e-05,0.42161356861795823,0.4256765762889579
2.0,0.03,inv_sqrt,block,1800,1800,1e-05,0.42161356861795823,0.4256765762889579
0.25,0.03,inv_sqrt,block,1800,1800,1e-05,0.42161356861795823,0.4256765762889579
1.0,0.03,const,block,3600,1800,1e-05,0.421613843546475,0.42567486353888623
0.5,0.03,const,block,3600,1800,1e-05,0.421613843546475,0.42567486353888623
0.5,0.03,const,block,1800,1800,1e-05,0.421613843546475,0.42567486353888623
1.0,0.03,const,block,1800,1800,1e-05,0.421613843546475,0.42567486353888623
2.0,0.03,const,block,1800,1800,1e-05,0.421613843546475,0.42567486353888623
0.25,0.03,const,block,1800,1800,1e-05,0.421613843546475,0.42567486353888623
0.25,0.03,const,block,3600,1800,1e-05,0.421613843546475,0.42567486353888623
2.0,0.03,const,block,3600,1800,1e-05,0.421613843546475,0.42567486353888623
0.5,0.01,const,block,900,1800,1e-05,0.42161406565885834,0.42567667370745293
0.25,0.01,const,block,900,1800,1e-05,0.42161406565885834,0.42567667370745293
2.0,0.01,const,block,900,1800,1e-05,0.42161406565885834,0.42567667370745293
1.0,0.01,const,block,900,1800,1e-05,0.42161406565885834,0.42567667370745293
1.0,0.03,inv_sqrt,block,900,1800,1e-05,0.4216142581992879,0.42567709764780143
2.0,0.03,inv_sqrt,block,900,1800,1e-05,0.4216142581992879,0.42567709764780143
0.5,0.03,inv_sqrt,block,900,1800,1e-05,0.4216142581992879,0.42567709764780143
0.25,0.03,inv_sqrt,block,900,1800,1e-05,0.4216142581992879,0.42567709764780143
0.5,0.3,const,block,1800,1800,1e-05,0.42161450293435243,0.4256599761805738
0.25,0.3,const,block,3600,1800,1e-05,0.42161450293435243,0.4256599761805738
0.5,0.3,const,block,3600,1800,1e-05,0.42161450293435243,0.4256599761805738
0.25,0.3,const,block,1800,1800,1e-05,0.42161450293435243,0.4256599761805738
1.0,0.3,const,block,3600,1800,1e-05,0.42161450293435243,0.4256599761805738
2.0,0.3,const,block,3600,1800,1e-05,0.42161450293435243,0.4256599761805738
1.0,0.3,const,block,1800,1800,1e-05,0.42161450293435243,0.4256599761805738
2.0,0.3,const,block,1800,1800,1e-05,0.42161450293435243,0.4256599761805738
2.0,0.1,inv_sqrt,block,1800,1800,1e-05,0.42161523826851616,0.4256762639689238
1.0,0.1,inv_sqrt,block,3600,1800,1e-05,0.42161523826851616,0.4256762639689238
0.5,0.1,inv_sqrt,block,1800,1800,1e-05,0.42161523826851616,0.4256762639689238
0.5,0.1,inv_sqrt,block,3600,1800,1e-05,0.42161523826851616,0.4256762639689238
0.25,0.1,inv_sqrt,block,1800,1800,1e-05,0.42161523826851616,0.4256762639689238
0.25,0.1,inv_sqrt,block,3600,1800,1e-05,0.42161523826851616,0.4256762639689238
1.0,0.1,inv_sqrt,block,1800,1800,1e-05,0.42161523826851616,0.4256762639689238
2.0,0.1,inv_sqrt,block,3600,1800,1e-05,0.42161523826851616,0.4256762639689238
0.5,0.1,const,block,1800,1800,1e-05,0.4216155468935169,0.42567085065814375
0.5,0.1,const,block,3600,1800,1e-05,0.4216155468935169,0.42567085065814375
0.25,0.1,const,block,1800,1800,1e-05,0.4216155468935169,0.42567085065814375
0.25,0.1,const,block,3600,1800,1e-05,0.4216155468935169,0.42567085065814375
1.0,0.1,const,block,1800,1800,1e-05,0.4216155468935169,0.42567085065814375
1.0,0.1,const,block,3600,1800,1e-05,0.4216155468935169,0.42567085065814375
2.0,0.1,const,block,3600,1800,1e-05,0.4216155468935169,0.42567085065814375
2.0,0.1,const,block,1800,1800,1e-05,0.4216155468935169,0.42567085065814375
0.25,0.03,const,block,900,1800,1e-05,0.42161649160322906,0.42567664509695274
2.0,0.03,const,block,900,1800,1e-05,0.42161649160322906,0.42567664509695274
1.0,0.03,const,block,900,1800,1e-05,0.42161649160322906,0.42567664509695274
0.5,0.03,const,block,900,1800,1e-05,0.42161649160322906,0.42567664509695274
0.5,0.1,inv_sqrt,block,900,1800,1e-05,0.42161754022322556,0.42567799981966475
1.0,0.1,inv_sqrt,block,900,1800,1e-05,0.42161754022322556,0.42567799981966475
2.0,0.1,inv_sqrt,block,900,1800,1e-05,0.42161754022322556,0.42567799981966475
0.25,0.1,inv_sqrt,block,900,1800,1e-05,0.42161754022322556,0.42567799981966475
0.25,0.3,inv_sqrt,block,3600,1800,1e-05,0.4216195421021915,0.42567519893578215
0.5,0.3,inv_sqrt,block,3600,1800,1e-05,0.4216195421021915,0.42567519893578215
0.25,0.3,inv_sqrt,block,1800,1800,1e-05,0.4216195421021915,0.42567519893578215
0.5,0.3,inv_sqrt,block,1800,1800,1e-05,0.4216195421021915,0.42567519893578215
2.0,0.3,inv_sqrt,block,1800,1800,1e-05,0.4216195421021915,0.42567519893578215
2.0,0.3,inv_sqrt,block,3600,1800,1e-05,0.4216195421021915,0.42567519893578215
1.0,0.3,inv_sqrt,block,3600,1800,1e-05,0.4216195421021915,0.42567519893578215
1.0,0.3,inv_sqrt,block,1800,1800,1e-05,0.4216195421021915,0.42567519893578215
1.0,0.1,const,block,900,1800,1e-05,0.42162442976731,0.4256766963347725
0.25,0.1,const,block,900,1800,1e-05,0.42162442976731,0.4256766963347725
0.5,0.1,const,block,900,1800,1e-05,0.42162442976731,0.4256766963347725
2.0,0.1,const,block,900,1800,1e-05,0.42162442976731,0.4256766963347725
2.0,0.3,inv_sqrt,block,900,1800,1e-05,0.4216264745292716,0.4256803829855869
1.0,0.3,inv_sqrt,block,900,1800,1e-05,0.4216264745292716,0.4256803829855869
0.25,0.3,inv_sqrt,block,900,1800,1e-05,0.4216264745292716,0.4256803829855869
0.5,0.3,inv_sqrt,block,900,1800,1e-05,0.4216264745292716,0.4256803829855869
0.5,0.3,const,block,900,1800,1e-05,0.4216413037973974,0.4256767859378155
0.25,0.3,const,block,900,1800,1e-05,0.4216413037973974,0.4256767859378155
1.0,0.3,const,block,900,1800,1e-05,0.4216413037973974,0.4256767859378155
2.0,0.3,const,block,900,1800,1e-05,0.4216413037973974,0.4256767859378155
