method,ttam_clicks,baseline_clicks,mean_extra_clicks,extra_clicks_ci95,aggregate_click_gain_pct,click_gain_pct_ci95,origins_won_by_ttam,D
Expanding,133882.56087193437,133966.19391755623,-83.63304562182263,"[-116.66020573862001, -51.80202666143164]",-0.062428470329845,"[-0.0851937503306921, -0.03938147907472933]",1,15
Best Fixed Window,133882.56087193437,133950.50379746512,-67.94292553072931,"[-106.14762522901546, -29.35639709791444]",-0.05072241134193023,"[-0.07797758172654046, -0.02217894994164249]",4,15
ARW,133882.56087193437,133954.7805765193,-72.21970458493355,"[-102.24034801515315, -42.80449561854537]",-0.05391349549012103,"[-0.07537655493843332, -0.03209108015234108]",2,15
AdaMoE,133882.56087193437,133971.06389139587,-88.50301946145386,"[-122.75496823191587, -56.667297175870864]",-0.06606129479812539,"[-0.08926234287393031, -0.04298515627056965]",1,15
OPS,133882.56087193437,133915.2009865718,-32.64011463742936,"[-43.1105112560457, -21.184813583612268]",-0.024373718888504037,"[-0.03221755473233889, -0.0157813373077631]",1,15
