method,ttam_clicks,baseline_clicks,mean_extra_clicks,extra_clicks_ci95,aggregate_click_gain_pct,click_gain_pct_ci95,origins_won_by_ttam,D
Expanding,183553.96698094913,183582.89586604247,-28.928885093304174,"[-42.595782916347666, -14.593833139686419]",-0.015757941368588213,"[-0.022889665581193874, -0.008000461362434041]",2,15
Best Fixed Window,183553.96698094913,183592.13750970078,-38.170528751644696,"[-56.85680293122442, -19.80351444750443]",-0.02079093869127302,"[-0.030326999430985158, -0.01094935343070036]",3,15
ARW,183553.96698094913,183593.37903188865,-39.4120509395143,"[-53.4099544579007, -24.924192640084755]",-0.021467032824018517,"[-0.028621965666464355, -0.013774199535143694]",2,15
AdaMoE,183553.96698094913,183593.0889946003,-39.1220136511547,"[-54.355157012101266, -24.435877247484658]",-0.021309088411436417,"[-0.029045317204168253, -0.013494002857372678]",1,15
OPS,183553.96698094913,183573.49403718798,-19.527056238804168,"[-23.834884329182533, -15.421555867204686]",-0.010637187215534194,"[-0.012960825789309904, -0.008449103960461724]",0,15
