method,ttam_clicks,baseline_clicks,mean_extra_clicks,extra_clicks_ci95,aggregate_click_gain_pct,click_gain_pct_ci95,origins_won_by_ttam,D
Expanding,168319.6975221198,168386.4006201323,-66.70309801253413,"[-93.71113942514624, -35.59026534645081]",-0.039613114697423235,"[-0.05490702509888257, -0.02142508810258903]",2,15
Best Fixed Window,168319.6975221198,168399.66582436467,-79.96830224486378,"[-113.98192406876086, -44.32980429823671]",-0.04748720958166475,"[-0.06640774489395929, -0.026803503890304725]",3,15
ARW,168319.6975221198,168401.55194522353,-81.8544231037648,"[-107.2735343957636, -54.524087987456596]",-0.04860669165944742,"[-0.06309185335122702, -0.0326259478647839]",2,15
AdaMoE,168319.6975221198,168402.0636133388,-82.36609121899819,"[-111.624952854818, -52.44477074592602]",-0.04891038117449398,"[-0.06482061067757394, -0.03171722146750877]",1,15
OPS,168319.6975221198,168356.71270531093,-37.015183191123654,"[-47.1015373829191, -27.262187561240523]",-0.02198616413704446,"[-0.027926157565705267, -0.01623819392638781]",1,15
