method,ttam_clicks,baseline_clicks,mean_extra_clicks,extra_clicks_ci95,aggregate_click_gain_pct,click_gain_pct_ci95,origins_won_by_ttam,D
Expanding,88806.14312495332,88809.30290317662,-3.159778223299266,"[-32.38178539311341, 25.598605777887713]",-0.0035579360720294773,"[-0.03571667447929139, 0.029419625424753626]",8,15
Best Fixed Window,88806.14312495332,88795.37194759304,10.77117736027479,"[-7.670449226205917, 28.38084656277093]",0.012130336439875045,"[-0.008698363323356162, 0.031484707951290325]",11,15
ARW,88806.14312495332,88798.37201101272,7.771113940595145,"[-10.670158884630775, 26.077693231282876]",0.008751414879126784,"[-0.011950929600279547, 0.029577050832974017]",9,15
AdaMoE,88806.14312495332,88814.09466067384,-7.951535720500397,"[-23.06861988227897, 5.699619078492372]",-0.00895301106306201,"[-0.02555961120485062, 0.006533707785227882]",7,15
OPS,88806.14312495332,88806.24139662088,-0.09827166756925483,"[-7.555379735999862, 6.676599290353161]",-0.00011065851456271147,"[-0.008441427029515225, 0.00756173005833638]",8,15
