ablation,setting,imp_wt_ll
carryover_rho,0.0,0.38963093997326104
carryover_rho,0.5,0.38962666470850593
carryover_rho,1.0,0.38962408135616355
delay_sec,0,0.3896293276538495
delay_sec,900,0.38963093997326104
delay_sec,1800,0.38963093997326104
delay_sec,3600,0.38963093997326104
update_granularity,impression,0.3885854688070313
update_granularity,block_900,0.38963383888514913
update_granularity,block_1800,0.38963093997326104
update_granularity,block_3600,0.38963093997326104
chronology,real,0.38963093997326104
chronology,shuffled,0.3896286224733551
long_term_backbone,expanding,0.3883090907948921
long_term_backbone,equal,0.38836699863009505
long_term_backbone,adaptive,0.38963093997326104
calib_complexity,intercept,0.38963093997326104
calib_complexity,platt,0.3895409553577618
