method,is_test,day,n,log_loss,brier,ece,clicks
expanding,False,5,766553,0.42591987772557816,0.13493572636327653,0.010490834737391217,140547
expanding,False,6,644681,0.41824600515226096,0.13249647910849974,0.012415090970412903,116974
expanding,True,7,1057291,0.3748410199040438,0.11543904084333706,0.012456680018654041,161336
expanding,True,8,766857,0.38616505507435644,0.11917011033403073,0.009599053876735703,120466
expanding,True,9,843064,0.40717232362100053,0.12672122385730833,0.012492537444575017,143273
rolling_3,False,5,766553,0.42566584878164565,0.13481380468589022,0.009670048318851505,140547
rolling_3,False,6,644681,0.4167807182303507,0.1319395198754981,0.008381501210390913,116974
rolling_3,True,7,1057291,0.3782865726103585,0.11615518534714965,0.026744184949231163,161336
rolling_3,True,8,766857,0.3867427409490814,0.11929641693698312,0.01696371296822292,120466
rolling_3,True,9,843064,0.4093292014483765,0.12740866257441097,0.025268599201079194,143273
rolling_7,False,5,766553,0.42591987772557816,0.13493572636327653,0.010490834737391217,140547
rolling_7,False,6,644681,0.41824600515226096,0.13249647910849974,0.012415090970412903,116974
rolling_7,True,7,1057291,0.3748410199040438,0.11543904084333706,0.012456680018654041,161336
rolling_7,True,8,766857,0.38579942585887805,0.11910196361179252,0.008323002484364777,120466
rolling_7,True,9,843064,0.40733868154811165,0.1268761811242194,0.009657437026910784,143273
equal_ensemble,False,5,766553,0.4256766990364407,0.134845289000473,0.009875719115515663,140547
equal_ensemble,False,6,644681,0.41738433606310443,0.13220547068631436,0.012015462450043866,116974
equal_ensemble,True,7,1057291,0.3751931775244505,0.11544480773200419,0.01729192122246732,161336
equal_ensemble,True,8,766857,0.385831092254377,0.11907781403209411,0.010479623211837713,120466
equal_ensemble,True,9,843064,0.40724390952862083,0.12679145197206804,0.012907389627077577,143273
long_only,False,5,766553,0.4256766990364407,0.134845289000473,0.009875719115515671,140547
long_only,False,6,644681,0.4167807182303507,0.1319395198754981,0.008381501210390913,116974
long_only,True,7,1057291,0.3782865726103585,0.11615518534714965,0.026744184949231163,161336
long_only,True,8,766857,0.3859153037028555,0.1191146150987219,0.009110774663544204,120466
long_only,True,9,843064,0.40733868154811165,0.1268761811242194,0.009657437026910784,143273
short_only,False,5,766553,0.42591970034998833,0.13493549247783673,0.010509876536831456,140547
short_only,False,6,644681,0.4182357562220041,0.13249233389037396,0.0122965902141754,116974
short_only,True,7,1057291,0.3748330526912269,0.1154374879353979,0.01240456021753198,161336
short_only,True,8,766857,0.38616062626696396,0.1191695222787266,0.009554534776309733,120466
short_only,True,9,843064,0.4071637197022535,0.12671897366450968,0.012466878409455606,143273
combined,False,5,766553,0.42567607699959037,0.13484479304060643,0.009904465767920452,140547
combined,False,6,644681,0.41678223404222486,0.13193960873084962,0.008354854239138112,116974
combined,True,7,1057291,0.3782076719955678,0.11613328450954459,0.026356874850109586,161336
combined,True,8,766857,0.3859128065429119,0.11911443524011835,0.009083859636579178,120466
combined,True,9,843064,0.40733896103856626,0.12687583960310486,0.009632889504459403,143273
time_of_day,False,5,766553,0.4256766990364407,0.134845289000473,0.009875719115515671,140547
time_of_day,False,6,644681,0.4163129743840765,0.13176184828244183,0.00862810376197684,116974
time_of_day,True,7,1057291,0.3789446437843764,0.11635581662351627,0.028621697063156076,161336
time_of_day,True,8,766857,0.3859904522995983,0.11922616967126558,0.010756153806115937,120466
time_of_day,True,9,843064,0.40776571173242027,0.1270826261874769,0.01482195846122198,143273
oracle_intercept,False,5,766553,0.42565082617626626,0.13482201802075733,0.010497615942674343,140547
oracle_intercept,False,6,644681,0.4167804187328501,0.1319411709636164,0.008518990297274,116974
oracle_intercept,True,7,1057291,0.37549418832181164,0.11558031164258163,0.01345173685381114,161336
oracle_intercept,True,8,766857,0.3858120657740913,0.11912675036079423,0.00898587439390387,120466
oracle_intercept,True,9,843064,0.4073385993991791,0.12687748611859453,0.009729726835921394,143273
online_platt,False,5,766553,0.4256756430694652,0.1348447197682649,0.009908474510180912,140547
online_platt,False,6,644681,0.41678087471199027,0.13193933125638715,0.008386861387037415,116974
online_platt,True,7,1057291,0.3779996809605121,0.1160885999711328,0.02551907728101998,161336
online_platt,True,8,766857,0.3858915761104567,0.11911165415978262,0.009040647118754712,120466
online_platt,True,9,843064,0.4073344296019391,0.1268751848583989,0.009659136164637422,143273
