method,imp_wt_ll,daily_ll,worst_day,brier,ece
rolling_7,0.3882637020648922,0.3893263757703445,0.40733868154811165,0.12010727838846329,0.0103833987997245
short_only,0.3883090907948921,0.38938579955348146,0.4071637197022535,0.12007639595813846,0.0116048398594864
expanding,0.38831624192442793,0.3893927995331336,0.40717232362100053,0.12007789185964757,0.011646410529244715
equal_ensemble,0.38838244695725566,0.3894227264358161,0.40724390952862083,0.12007583953295335,0.013947417988201339
oracle_intercept,0.3885262281933901,0.38954828449836065,0.4073385993991791,0.12017081755608894,0.010991276064740263
online_platt,0.3895409553577618,0.3904085622243027,0.4073344296019391,0.1203672368651418,0.01576824198323105
combined,0.38963093997326104,0.3904864798590153,0.40733896103856626,0.12038595650306924,0.016104475487386447
long_only,0.38966284604077833,0.39051351928710853,0.40733868154811165,0.1203947977232191,0.01627350389281939
time_of_day,0.39008029119789556,0.3909002692721317,0.40776571173242027,0.1205716559738824,0.019123247097362208
rolling_3,0.39052991686736643,0.3914528383359388,0.4093292014483765,0.12061537709734,0.023465766651353068
