method,day,b_end,a_end
short_only,5,-0.0001736997854454916,1.0
short_only,6,0.0022935447648612353,1.0
short_only,7,-0.0020467125566199767,1.0
short_only,8,-0.001553223363193239,1.0
short_only,9,-0.0022252490575912177,1.0
combined,5,0.00012913580401892447,1.0
combined,6,-8.161688706916195e-05,1.0
combined,7,-0.006107385069793734,1.0
combined,8,-0.0011865620837162975,1.0
combined,9,0.00012014449510625781,1.0
online_platt,5,0.0001331018695193328,1.0008786423127658
online_platt,6,-7.58287868480122e-05,1.0013564603577685
online_platt,7,-0.005918188674010567,1.0098479657720945
online_platt,8,-0.0011191916614425156,1.0033305581462175
online_platt,9,0.00014394534539272398,1.0016256417118523
