day,beta,beta_std,beta_A,beta_B
4,0.2689414322376251,0.0,0.2689414322376251,0.2689414322376251
5,0.23767289519309998,0.01677597127854824,0.23988641798496246,0.23545636236667633
6,0.5719499588012695,0.05111771449446678,0.5698407292366028,0.5741075277328491
7,0.8043988347053528,0.04330148547887802,0.7982580065727234,0.8105725049972534
8,0.8900778889656067,0.028888823464512825,0.8841949105262756,0.8961118459701538
9,0.8881726861000061,0.02729876898229122,0.8788456916809082,0.8974499106407166
10,0.6861520409584045,0.02921133302152157,0.6721798181533813,0.700597882270813
11,0.37245744466781616,0.019118713214993477,0.3586220443248749,0.38649722933769226
12,0.6659986972808838,0.027390869334340096,0.6467921733856201,0.6847497224807739
13,0.9220810532569885,0.01885545626282692,0.9141720533370972,0.9302037954330444
14,0.9728504419326782,0.009795986115932465,0.9691041707992554,0.9767031669616699
15,0.9841853976249695,0.006502400618046522,0.9816747903823853,0.9867467284202576
16,0.9872981905937195,0.005444391164928675,0.9852683544158936,0.9892640709877014
17,0.9861066937446594,0.005822028964757919,0.9842244982719421,0.9880065321922302
18,0.9830702543258667,0.006724954582750797,0.9809014797210693,0.9852419495582581
19,0.9766588807106018,0.007786483503878117,0.9739708304405212,0.9792936444282532
20,0.9634862542152405,0.010022141970694065,0.9598072171211243,0.9670923948287964
21,0.9314947724342346,0.01442760694772005,0.9251053333282471,0.9380218982696533
22,0.8627829551696777,0.018297547474503517,0.8532241582870483,0.872798502445221
23,0.7386720180511475,0.018203480169177055,0.7251758575439453,0.7517083287239075
24,0.6087661385536194,0.018595973029732704,0.5965712070465088,0.621307373046875
25,0.520916759967804,0.02166030742228031,0.5106171369552612,0.530733585357666
26,0.4257137179374695,0.025570889934897423,0.4189439117908478,0.4323318600654602
27,0.2685902416706085,0.02878262847661972,0.26773688197135925,0.2694447338581085
28,0.10993511974811554,0.020961180329322815,0.11201922595500946,0.10781174153089523
29,0.05733797326683998,0.014852724969387054,0.060261670500040054,0.054441437125205994
30,0.04214370250701904,0.012135698460042477,0.044973015785217285,0.039348140358924866
31,0.0427384153008461,0.011683324351906776,0.04550287127494812,0.0399368517100811
32,0.0560777485370636,0.01369335688650608,0.05895392224192619,0.05319773405790329
33,0.07486210763454437,0.015175088308751583,0.07889599353075027,0.0706467404961586
34,0.10563397407531738,0.016373775899410248,0.11154629290103912,0.09972162544727325
35,0.14330041408538818,0.016482753679156303,0.1498367339372635,0.1365244835615158
36,0.1934088170528412,0.01638232357800007,0.20123979449272156,0.18490256369113922
37,0.2705836296081543,0.014658432453870773,0.279014527797699,0.2618553042411804
38,0.35185375809669495,0.013276966288685799,0.3600202798843384,0.34408038854599
39,0.38815030455589294,0.012563317082822323,0.39496833086013794,0.3811386823654175
40,0.7831970453262329,0.03198998048901558,0.7837396860122681,0.7826374769210815
41,0.9764708876609802,0.008938281796872616,0.9752814173698425,0.9777340292930603
42,0.9956110119819641,0.0023689528461545706,0.995203971862793,0.9960148930549622
43,0.998009204864502,0.0011838729260489345,0.9977856278419495,0.9982339143753052
