method,seed_avg_mean_ll,mean_delta_vs_ops,imp_wt_delta_vs_ops,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,n_days,sign_test_p,worst_day_delta,loo_reverses_sign
Current OPS,0.401654630927838,,,,,,,,,,
AP-OPS,0.401373139714568,-0.00028149121327003535,-0.00027670591587716705,-0.00035553904006280224,-0.000217144099322808,True,5.0,5.0,0.0625,-0.00019432784905942802,False
Single-memory,0.40142766710393446,-0.00022696382390351432,-0.000214565068883687,-0.0003371836900680214,-0.00014620836583014717,True,5.0,5.0,0.0625,-0.00010984061508689802,False
No-slope,0.4017860414294147,0.00013141050157671196,0.0001626111994142348,-3.9435216088523625e-05,0.00030225621924194755,False,2.0,5.0,1.0,0.0004366787045386178,False
