day,beta,q_expanding,q_rolling_1,q_rolling_3,q_rolling_7,q_rolling_14,m_expanding,m_rolling_1,m_rolling_3,m_rolling_7,m_rolling_14
4,0.2689414322376251,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
5,0.29926979541778564,0.16804592311382294,0.06642032414674759,0.4294421672821045,0.16804592311382294,0.16804592311382294,0.19334447383880615,0.17204153537750244,0.2479250729084015,0.19334447383880615,0.19334447383880615
6,0.26128625869750977,0.259749174118042,0.022355763241648674,0.19839751720428467,0.259749174118042,0.259749174118042,0.20798803865909576,0.13909590244293213,0.23693998157978058,0.20798803865909576,0.20798803865909576
7,0.20817025005817413,0.31956034898757935,0.006950742099434137,0.03436793014407158,0.31956034898757935,0.3195604085922241,0.2345682978630066,0.107552170753479,0.18874290585517883,0.2345682978630066,0.23456831276416779
8,0.22459231317043304,0.32718461751937866,0.006166522391140461,0.01227989699691534,0.32718461751937866,0.32718461751937866,0.2558789551258087,0.08421437442302704,0.14814871549606323,0.2558789551258087,0.2558789849281311
9,0.31190910935401917,0.43016788363456726,0.00938138086348772,0.0063224355690181255,0.12395983934402466,0.43016788363456726,0.29039883613586426,0.06930964440107346,0.11971613764762878,0.23017647862434387,0.29039886593818665
10,0.4817277193069458,0.4487603008747101,0.040360089391469955,0.00848796684294939,0.05363055318593979,0.4487603008747101,0.31487205624580383,0.06500676274299622,0.1023721843957901,0.20287689566612244,0.31487205624580383
11,0.663438618183136,0.273921400308609,0.379077672958374,0.029759589582681656,0.04331953823566437,0.273921400308609,0.31072676181793213,0.09652942419052124,0.09504963457584381,0.1869673877954483,0.31072676181793213
12,0.7195073366165161,0.04026002064347267,0.8651922941207886,0.03968926891684532,0.014598947949707508,0.04026002064347267,0.2879169285297394,0.16149388253688812,0.0901796817779541,0.1724925935268402,0.2879169285297394
13,0.7966359257698059,0.0084905456751585,0.9288697242736816,0.04792173206806183,0.006228180602192879,0.0084905456751585,0.26834264397621155,0.21553942561149597,0.08694493025541306,0.16083039343357086,0.26834261417388916
14,0.8526827692985535,0.0034683228004723787,0.917775571346283,0.0708889290690422,0.00439830869436264,0.0034683230333030224,0.2583267092704773,0.24216298758983612,0.08627591282129288,0.15490774810314178,0.2583266496658325
15,0.9270128607749939,0.0019277643878012896,0.8824295401573181,0.10987306386232376,0.003841967787593603,0.0019277643878012896,0.25221484899520874,0.2573315501213074,0.08692406117916107,0.15131475031375885,0.25221478939056396
16,0.9636780023574829,0.0015732436440885067,0.8265585899353027,0.16570372879505157,0.004591160919517279,0.0015731611056253314,0.24929124116897583,0.2639267146587372,0.0878831222653389,0.14960773289203644,0.24929118156433105
17,0.9786918759346008,0.0017791632562875748,0.7685317397117615,0.22093825042247772,0.006972124800086021,0.0017788949189707637,0.2475937306880951,0.2673543095588684,0.08882521092891693,0.14863307774066925,0.24759367108345032
18,0.9825772643089294,0.0031499729957431555,0.7040371298789978,0.2754960358142853,0.014167875051498413,0.0031489823013544083,0.24637764692306519,0.2695380747318268,0.08974501490592957,0.14796170592308044,0.2463775873184204
19,0.9812518358230591,0.006431227549910545,0.6312990188598633,0.32578569650650024,0.030056841671466827,0.006427098996937275,0.24519482254981995,0.2713388204574585,0.09089533239603043,0.14737634360790253,0.24519474804401398
20,0.9759721159934998,0.014574604108929634,0.5325350165367126,0.37577760219573975,0.0625588670372963,0.014554695226252079,0.24379387497901917,0.2729663848876953,0.09259693324565887,0.14684918522834778,0.24379369616508484
21,0.9690895676612854,0.030213918536901474,0.41937732696533203,0.40551626682281494,0.11477430164813995,0.030118871480226517,0.24202510714530945,0.27420154213905334,0.09516684710979462,0.14658242464065552,0.24202415347099304
22,0.9594299793243408,0.058233052492141724,0.3182774782180786,0.37412405014038086,0.19137562811374664,0.05798942223191261,0.24005834758281708,0.2746542692184448,0.09816892445087433,0.14706376194953918,0.24005478620529175
23,0.9576835632324219,0.10251882672309875,0.24326027929782867,0.28382864594459534,0.26709622144699097,0.10329589992761612,0.2382286787033081,0.2741260826587677,0.10073567926883698,0.14867369830608368,0.2382359802722931
24,0.9444829821586609,0.17977219820022583,0.18045763671398163,0.2003873735666275,0.2502526044845581,0.18912984430789948,0.23736321926116943,0.2727714478969574,0.102203369140625,0.1501556932926178,0.23750638961791992
25,0.9234853982925415,0.24682605266571045,0.138731449842453,0.17788998782634735,0.1505812406539917,0.28597134351730347,0.23755207657814026,0.270133912563324,0.10369423776865005,0.15015967190265656,0.2384602427482605
26,0.8867109417915344,0.2538094222545624,0.11059968918561935,0.23072688281536102,0.08631760627031326,0.31854626536369324,0.23802746832370758,0.2656876742839813,0.10718826949596405,0.14833281934261322,0.24076390266418457
27,0.8677707314491272,0.18939030170440674,0.08558385074138641,0.4321749806404114,0.057837408035993576,0.23501379787921906,0.23595955967903137,0.2580520510673523,0.12100550532341003,0.14445236325263977,0.24053062498569489
28,0.8422247171401978,0.14021466672420502,0.06376722455024719,0.5867267847061157,0.04821623116731644,0.16107654571533203,0.2310352623462677,0.2481314241886139,0.1449025273323059,0.13949480652809143,0.23643606901168823
29,0.8516245484352112,0.2320357859134674,0.06868794560432434,0.3838282823562622,0.06812241673469543,0.24732555449008942,0.23112475872039795,0.23827417194843292,0.157888725399971,0.1356709599494934,0.2370414435863495
30,0.7868252396583557,0.41715723276138306,0.05013582482933998,0.07751093804836273,0.05980803072452545,0.395389199256897,0.24107633531093597,0.22810573875904083,0.1536308377981186,0.1316850781440735,0.2455020397901535
31,0.7123308181762695,0.577094316482544,0.026420406997203827,0.013449824415147305,0.02707768976688385,0.3559575080871582,0.27099499106407166,0.21016225218772888,0.1411566585302353,0.12236376106739044,0.2553223669528961
32,0.6391799449920654,0.757374107837677,0.01692543923854828,0.004428674466907978,0.013439536094665527,0.20783203840255737,0.3255921006202698,0.18854835629463196,0.12588626146316528,0.11014854907989502,0.24982476234436035
33,0.6308765411376953,0.8748016953468323,0.013899104669690132,0.002666476648300886,0.00932487566024065,0.09930802136659622,0.38701701164245605,0.16902868449687958,0.1121196299791336,0.09887539595365524,0.23295927047729492
34,0.6818446516990662,0.9080679416656494,0.01729537919163704,0.0033663702197372913,0.011648265644907951,0.059621959924697876,0.4392361044883728,0.15386131405830383,0.10132177174091339,0.09013181179761887,0.21544896066188812
35,0.7026589512825012,0.9039282202720642,0.02463035099208355,0.005774767138063908,0.01930060051381588,0.04636675864458084,0.4803149998188019,0.14243930578231812,0.09287679195404053,0.08388245105743408,0.20048639178276062
36,0.6792251467704773,0.8758161067962646,0.03518126159906387,0.01137128472328186,0.03438837081193924,0.04324354976415634,0.5168483257293701,0.13254083693027496,0.08528424799442291,0.07943203300237656,0.18589451909065247
37,0.615848958492279,0.8549256324768066,0.04150593280792236,0.020490679889917374,0.040178533643484116,0.04290025308728218,0.5535486936569214,0.12268494814634323,0.078218474984169,0.07537991553544998,0.1701679676771164
38,0.5609108805656433,0.7920442819595337,0.06501854211091995,0.04541074484586716,0.036659643054008484,0.06086770445108414,0.5856185555458069,0.11487041413784027,0.0736641064286232,0.07012704014778137,0.15571986138820648
39,0.537457287311554,0.38378119468688965,0.2374834567308426,0.2156679332256317,0.0369553379714489,0.12611150741577148,0.5583839416503906,0.13164062798023224,0.09303231537342072,0.0654369667172432,0.15150611102581024
40,0.4590319097042084,0.024670783430337906,0.19977228343486786,0.7192055583000183,0.010668514296412468,0.04568242281675339,0.4715743064880371,0.14244168996810913,0.19534672796726227,0.056473344564437866,0.13416393101215363
41,0.4174831807613373,0.0018059154972434044,0.04939791187644005,0.9368765354156494,0.002648846246302128,0.009269991889595985,0.3863591253757477,0.12510883808135986,0.3304898738861084,0.04666299745440483,0.11137913912534714
42,0.5268657803535461,0.00043295626528561115,0.021346282213926315,0.9724289774894714,0.0016191935865208507,0.004173910245299339,0.33290499448776245,0.11063168197870255,0.41954630613327026,0.040413886308670044,0.0965031310915947
43,0.7370951175689697,0.00024555661366321146,0.01640080288052559,0.9777801036834717,0.001973311882466078,0.0036010148469358683,0.31020885705947876,0.1042657196521759,0.4575360119342804,0.03780430555343628,0.09018510580062866
44,0.9180079698562622,0.00027287163538858294,0.019280947744846344,0.9714520573616028,0.003948130179196596,0.005045307334512472,0.30128395557403564,0.10187765210866928,0.47223737835884094,0.0368465781211853,0.08775443583726883
45,0.9723385572433472,0.0005360494833439589,0.031176971271634102,0.9469732046127319,0.011084581725299358,0.010228495113551617,0.2986077666282654,0.1012723445892334,0.47641700506210327,0.03662795573472977,0.08707495033740997
46,0.9841868281364441,0.001886740792542696,0.06483215093612671,0.8666027784347534,0.03855971619486809,0.028117597103118896,0.29742497205734253,0.10112304240465164,0.4779833257198334,0.03663159906864166,0.08683706820011139
