method,day,n,log_loss,brier,ece,clicks
current_ops,5,3835892,0.42593808649448056,0.1349233623659808,0.010058475168706794,702156
ap_ops,5,3835892,0.4257501465802604,0.1348731172373255,0.00886699807051275,702156
single_memory,5,3835892,0.42574675088195457,0.1348722417955162,0.008380607104127948,702156
no_slope,5,3835892,0.42589362128700753,0.13489932517522765,0.010501530383974238,702156
current_ops,6,3225010,0.41690456707906426,0.13199720595331702,0.008507091113744092,585643
ap_ops,6,3225010,0.4164833529895416,0.13187774118702358,0.008184585285688915,585643
single_memory,6,3225010,0.416477501839578,0.13186980823837421,0.008003078480043528,585643
no_slope,6,3225010,0.4167785838551091,0.13194108969941454,0.008117681161602693,585643
current_ops,7,5287222,0.37425841064411103,0.11513132815922142,0.011315474557357118,804622
ap_ops,7,5287222,0.37400756395967316,0.11510611937951802,0.00947115009329601,804622
single_memory,7,5287222,0.37415127193900166,0.11515448730956693,0.00823270977130834,804622
no_slope,7,5287222,0.37464152032857784,0.11519768572995956,0.013466807710842263,804622
current_ops,8,3832608,0.3851169039742766,0.11889393368676132,0.00828016454134165,600041
ap_ops,8,3832608,0.3847539686356101,0.11880941169994658,0.005397799372105882,600041
single_memory,8,3832608,0.3847832008312339,0.11882172902776354,0.004435215994063692,600041
no_slope,8,3832608,0.38529430860926295,0.11891811801999383,0.009724426775906373,600041
current_ops,9,4218938,0.4059338750799545,0.1264225740940857,0.008719466937361246,714185
ap_ops,9,4218938,0.40570652458711143,0.1264198865943932,0.00807053958945912,714185
single_memory,9,4218938,0.4058256246247282,0.12647018683622277,0.008316581118294197,714185
no_slope,9,4218938,0.4061352458083897,0.1264554133049139,0.0095692480682424,714185
