method,day,gate_move_l1,pi_expanding,pi_rolling_1,pi_rolling_3,pi_rolling_7,pi_rolling_14,h_eff,pi_m2,pi_m5b,pi_m5b_hs
adamoe,4,,0.2,0.2,0.2,0.2,0.2,17.0,,,
adamoe,5,0.009436504479202495,0.20157275074653358,0.19586039424061139,0.19942135351978685,0.20157275074653358,0.20157275074653358,17.121517265269194,,,
adamoe,6,0.008416194205607602,0.20226180086197476,0.19800134099709193,0.19521325641698334,0.20226180086197476,0.20226180086197476,17.166846980067998,,,
adamoe,7,0.020651237664251476,0.19881992791793288,0.20797389481552414,0.19556632143067695,0.19881992791793288,0.19881992791793288,16.89908702046012,,,
adamoe,8,0.02258800921745921,0.195055259715023,0.2128499009088866,0.20198431994604404,0.195055259715023,0.195055259715023,16.61827889766388,,,
adamoe,9,0.018034239853001427,0.1968689774595569,0.2038327809823861,0.2062823801038881,0.19614688399461205,0.1968689774595569,16.764012441263542,,,
adamoe,10,0.031183218279269176,0.20246883951403946,0.19616597331368088,0.19835757863295872,0.20053876902528148,0.20246883951403946,17.17770421642845,,,
adamoe,11,0.017333758246073222,0.2068022790755577,0.19574798914157177,0.1909973642627816,0.19965008844453097,0.2068022790755577,17.469659352632902,,,
adamoe,12,0.012134506273700996,0.20676145803833149,0.20015454056164417,0.19265806597956,0.19366447738213322,0.20676145803833149,17.434127975011787,,,
adamoe,13,0.015397348217826207,0.2043187090291495,0.2001853438361097,0.20032593681400762,0.19085130129158412,0.2043187090291495,17.256706731476285,,,
adamoe,14,0.011462567320171702,0.20458920365809047,0.19445406017602362,0.20092760548658073,0.1954399270212147,0.20458920365809047,17.304917436482963,,,
adamoe,15,0.02265867832304344,0.20716750994245664,0.1910357706835041,0.19301655581757887,0.20161265361400443,0.20716750994245664,17.51176974917606,,,
adamoe,16,0.01651975329087524,0.20669813709714854,0.19929564732894134,0.19049825390896716,0.19744894757065373,0.20605901409428914,17.43964746519938,,,
adamoe,17,0.030730615814309414,0.2012613509197116,0.2075973959195414,0.1975618132255219,0.19166654497337435,0.2019128949618509,17.044410235058336,,,
adamoe,18,0.013772751667666422,0.20059425602310116,0.20170252160679086,0.20333288774367297,0.19278184628905654,0.2015884883373787,17.019068306970578,,,
adamoe,19,0.03222355302813787,0.20692285958043816,0.19264299499306442,0.19628063784333089,0.19877979877156016,0.2053737088116074,17.463546998112772,,,
adamoe,20,0.015551162061786528,0.21332673639571642,0.19283766480399028,0.18850505681243757,0.1995976131115809,0.20573292887627576,17.835401315033216,,,
adamoe,21,0.02339090320722806,0.21091016960711828,0.2017770061862913,0.19126116703375035,0.19390623177867436,0.20214542539416616,17.617550261683686,,,
adamoe,22,0.01717819912972074,0.2067192091948741,0.2015463762338794,0.1998502665986105,0.19160898355081032,0.2002751644218257,17.349364914483388,,,
adamoe,23,0.01484684865767752,0.20666768135291821,0.19417447974699636,0.20088903292957394,0.19564238314860782,0.20262642282190335,17.403169061257714,,,
adamoe,24,0.025332719739500437,0.21043750599948563,0.1899251993511396,0.19247195345568047,0.20163682941748293,0.20552851177621104,17.682448390476655,,,
adamoe,25,0.013623739697289222,0.21064554824497014,0.1965290269543001,0.18875492600800764,0.1988816814394177,0.20518881735330488,17.666341912698723,,,
adamoe,26,0.028142208575953037,0.20613657908222605,0.20321249507004546,0.19614256218023848,0.19269656007431812,0.20181180359317172,17.334076097368953,,,
adamoe,27,0.01100324223884433,0.2037251086770728,0.2001711796804386,0.2010941039036984,0.19324663947028026,0.20176296826850953,17.204368044067,,,
adamoe,28,0.028863991896790814,0.2085078544643908,0.19209880413776304,0.19473448349797862,0.19992734393809536,0.20473151396177192,17.55250612552662,,,
adamoe,29,0.014544625375375236,0.21365198031281774,0.19375016789428365,0.18746217081029112,0.2000524513080249,0.20508322967458256,17.846787873694552,,,
adamoe,30,0.01926942587436195,0.2120437423491161,0.19992811068555338,0.19091894095620265,0.19494338697689662,0.2021658190322318,17.69023464979065,,,
adamoe,31,0.020486075148345412,0.20794670122957695,0.2011811655202011,0.1999089236957276,0.19112876899668718,0.19983444055780764,17.413293561168118,,,
adamoe,32,0.011927036762632848,0.20593264541086628,0.1972317029575949,0.20215788003030621,0.1938345037016111,0.2008432678996211,17.328311344206462,,,
adamoe,33,0.028527002299562648,0.2108438640516278,0.19248907459938608,0.19263700723873384,0.19959176718328858,0.20443828692696353,17.680310326673766,,,
adamoe,34,0.015456648553642066,0.2117195047637941,0.19934175816404104,0.1892341749783118,0.19624862289449235,0.20345593919936097,17.692338077979123,,,
adamoe,35,0.023117355883232382,0.20807539332853545,0.20634668315865973,0.1937879279253095,0.190655550061695,0.20113444552580098,17.422705154439793,,,
adamoe,36,0.016299904517390468,0.20553776014723707,0.2007343640812627,0.20008277963858342,0.19220778114878784,0.20143731498412926,17.29882518965056,,,
adamoe,37,0.026587906874135536,0.2093210269748233,0.19320428005663323,0.19431891022614503,0.19845996199732985,0.2046958207450687,17.590383853636737,,,
adamoe,38,0.0152258186463812,0.21438384153709616,0.19399473874634432,0.1867060009029542,0.1997374162444736,0.20517800256913135,17.88779718336013,,,
adamoe,39,0.027990044386330404,0.21086192612671606,0.20400978693537034,0.1906859749070936,0.19360679465328917,0.20083551737753091,17.59472808511807,,,
adamoe,40,0.015561573953402408,0.20752547082795517,0.202416594749723,0.19846676188379442,0.19150045420263584,0.20009071833589087,17.39111836619934,,,
adamoe,41,0.014648201067110372,0.20705635922257024,0.19556160582155294,0.1991355279229856,0.19565940141349958,0.2025871056193913,17.4221850315107,,,
adamoe,42,0.01926199733904685,0.21075417207055647,0.19259585701414794,0.1924702780608677,0.19980736322724577,0.20437232962718282,17.67512117280142,,,
