day,beta,q_expanding,q_rolling_1,q_rolling_3,q_rolling_7,q_rolling_14,m_expanding,m_rolling_1,m_rolling_3,m_rolling_7,m_rolling_14
4,0.2689414322376251,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
5,0.2980175316333771,0.23546309769153595,0.040642593055963516,0.2529684007167816,0.23546309769153595,0.23546309769153595,0.20746323466300964,0.16642716526985168,0.21118316054344177,0.20746323466300964,0.20746323466300964
6,0.2850184738636017,0.19461923837661743,0.020685110241174698,0.3954574465751648,0.19461923837661743,0.19461923837661743,0.20480653643608093,0.13529159128665924,0.25028881430625916,0.20480653643608093,0.20480653643608093
7,0.25807031989097595,0.2604984641075134,0.01619081199169159,0.2023129016160965,0.2604984641075134,0.2604984641075134,0.21742773056030273,0.10854599624872208,0.23917081952095032,0.21742773056030273,0.21742773056030273
8,0.2545011639595032,0.30876997113227844,0.014207804575562477,0.059481583535671234,0.30876997113227844,0.30876997113227844,0.23802408576011658,0.08729223906993866,0.19863545894622803,0.23802408576011658,0.23802408576011658
9,0.2626500725746155,0.4130484163761139,0.015607360750436783,0.018147097900509834,0.14014725387096405,0.4130484163761139,0.2753104865550995,0.07187017053365707,0.15992701053619385,0.2175818383693695,0.2753104567527771
10,0.34825900197029114,0.45373770594596863,0.030699994415044785,0.01094114687293768,0.05088372901082039,0.45373770594596863,0.3096155822277069,0.06384918838739395,0.13125953078269958,0.18566016852855682,0.3096155524253845
11,0.5062851309776306,0.37938493490219116,0.18511660397052765,0.020029926672577858,0.0360838957130909,0.37938493490219116,0.32018589973449707,0.08094208687543869,0.1149527058005333,0.16373343765735626,0.32018589973449707
12,0.5755264163017273,0.08879373967647552,0.7751143574714661,0.0312432199716568,0.016055764630436897,0.08879373967647552,0.29131123423576355,0.1677568405866623,0.10458548367023468,0.14503522217273712,0.29131123423576355
13,0.7050824165344238,0.017779676243662834,0.9100326299667358,0.046114202588796616,0.00829402357339859,0.017779676243662834,0.2637532949447632,0.24296903610229492,0.09827883541584015,0.13124553859233856,0.2637532949447632
14,0.7707937955856323,0.007889769971370697,0.8640177249908447,0.11119798570871353,0.009005687199532986,0.007889769971370697,0.248346745967865,0.2808314859867096,0.09863229095935822,0.12384273111820221,0.248346745967865
15,0.8264597654342651,0.005117643624544144,0.5894163250923157,0.38736432790756226,0.012984649278223515,0.005117643158882856,0.23613442480564117,0.2961723506450653,0.11328300833702087,0.11827579140663147,0.23613442480564117
16,0.8392659425735474,0.0027486062608659267,0.13516944646835327,0.8467898964881897,0.01254261750727892,0.0027483943849802017,0.22550031542778015,0.2886921167373657,0.14689093828201294,0.11341632157564163,0.22550031542778015
17,0.8557174205780029,0.0014669856755062938,0.028651203960180283,0.9586542248725891,0.009761142544448376,0.0014666966162621975,0.21512272953987122,0.27661049365997314,0.18453972041606903,0.10860433429479599,0.21512272953987122
18,0.8992108106613159,0.0014068435411900282,0.01210974995046854,0.9740169048309326,0.011059854179620743,0.0014062522677704692,0.20806562900543213,0.267875075340271,0.2106045037508011,0.10538920760154724,0.20806559920310974
19,0.9430692791938782,0.001876220223493874,0.008124446496367455,0.9730115532875061,0.015115748159587383,0.0018740082159638405,0.20419633388519287,0.2630138099193573,0.22486275434494019,0.10373087972402573,0.2041962593793869
20,0.9609160423278809,0.004478104412555695,0.009462106041610241,0.9546912312507629,0.02690264955163002,0.004465804435312748,0.20183295011520386,0.2600144147872925,0.2334938794374466,0.1028260737657547,0.20183271169662476
