day,domain_idx,bce,traj_s,traj_f
0,0,0.5486201723416646,0.0,0.0
1,1,0.5355836475888888,0.0,0.0
2,2,0.480428313712279,0.0,0.0
3,3,0.467655710875988,0.5250983675320943,0.5935485382874807
4,4,0.4072131815056006,0.5132661481698354,0.5762327522039413
5,5,0.3732090006271998,0.5225000114490589,0.5591108714540799
6,6,0.3668955036749442,0.5542364512880643,0.5659911572933197
7,7,0.38687584598859154,0.5419912148267031,0.5651061067978541
8,8,0.38865753350158533,0.5553113011022409,0.5685396701097488
9,9,0.3798598868151506,0.5730306846400102,0.5608071704705556
10,10,0.3751014744242032,0.49466019483904045,0.5314905444780985
11,11,0.4359638925641775,0.6633321056763332,0.5734337454040845
12,12,0.4226936699201663,0.6550862364470958,0.5702741101384163
13,13,0.438294197122256,0.7180229989190896,0.5776691635449728
14,14,0.41588380448520185,0.6619638671477636,0.5492251753807068
15,15,0.38678388750801485,0.5885588397582372,0.5121397112806638
16,16,0.46411823232968646,0.7247454985976219,0.5480213642120362
17,17,0.45779079546531043,0.7123053227861722,0.5231205920378367
18,18,0.47951619463662304,0.7437574960291385,0.5078085859616598
19,19,0.5048914430042107,0.7013346282144387,0.5145481382807096
20,20,0.5981953110545873,0.9911358599861463,0.5568813202281793
21,21,0.5667836248874665,0.778437894086043,0.5209193947414558
22,22,0.6103499646609029,0.9342487094302973,0.5120991398890813
23,23,0.698006463299195,0.9762037734190623,0.5376805412272613
24,24,0.6684818726032973,0.9732847566405932,0.5259621096154053
25,25,0.7057855629051725,0.9257317197819551,0.5064840453366438
26,26,0.7210037559270859,0.8655373826622963,0.4842601031064987
27,27,0.9232425096755227,1.008552885055542,0.5250191586712997
28,28,0.9219293124973774,1.0958912149071693,0.5130369561413924
29,29,1.1370978519320487,1.254270082215468,0.5838700614869594
30,30,1.0538158531611164,1.030079565445582,0.47716270784536996
31,31,1.1634616983433566,1.0119276141126952,0.4898538095255693
32,32,1.3210931191841762,1.084966030716896,0.5294914703816176
33,33,1.5695668941984573,1.4776155173778533,0.6173293568193913
34,34,1.7528900961081186,1.450111736357212,0.586023121078809
35,35,2.1708430379629133,1.708670445283254,0.7016162571807703
36,36,2.3617018083731334,1.9692296942075094,0.7787378507355849
37,37,2.2514902517199515,1.56943489809831,0.6712939535578092
38,38,2.4262399608890215,1.8608672628800074,0.6966347880661488
39,39,2.9375290224949517,2.1476458619038263,0.7971777096390724
40,40,3.066918237010638,2.110718282063802,0.7822246327996254
41,41,2.949576496084531,1.7854152252276738,0.7196829006075859
42,42,3.2831085602442425,1.7282976945241293,0.7561530438562234
43,43,3.462471882502238,1.978222996989886,0.7695002044240634
44,44,3.801952248811722,2.233699753880501,0.8210928075015544
45,45,3.938967877626419,2.178558498620987,0.8578685390452544
46,46,3.6919843633969625,1.9687414715687435,0.7864053788284461
47,47,3.956713909904162,2.045824741323789,0.8592177291711172
48,48,3.8211669117212295,2.048146593570709,0.7623606909066438
49,49,4.712844604253769,2.5095451166232428,0.9255567672351996
50,50,4.543596700827281,2.540711033840974,0.8681510219971339
51,51,4.286294257640838,2.1485434720913568,0.8455483416716257
52,52,4.624746804436048,2.280231655637423,0.8332640344897906
53,53,5.891537815332413,2.745737835764885,0.9981206019719442
54,54,5.536627815167109,2.82106701930364,1.1012735163172087
55,55,4.749597003062566,2.0892252499858537,0.829153144856294
56,56,7.739987375338872,3.906461133559545,1.3247800022363663
57,57,5.965613502264023,2.8719488869110745,1.0880064323544503
58,58,7.150866802533468,3.6327615082263947,1.2551156784097353
59,59,6.8048588812351225,3.3262332409620283,1.2076493049661319
60,60,5.9013133933146795,2.544235333800316,1.0336521106461685
61,61,7.298660492897033,3.2736592680215835,1.1689337934056918
62,62,5.749258660276731,2.669868608315786,1.065366586546103
63,63,8.012379531065623,3.357070610920588,1.2557500426967938
64,64,7.856613886356354,3.673683162530263,1.3756044268608094
65,65,8.618390655517578,3.8576333036025363,1.4851679662863413
66,66,6.485838111241659,2.7097602784633636,1.1587259178360303
67,67,8.688757465283077,4.525166723132133,1.483069944381714
68,68,8.1215828816096,4.221453495820364,1.4358603154619536
69,69,7.822007409731547,2.9322708437840146,1.281904264787833
70,70,10.302942033608755,5.11672069132328,1.706712322930495
71,71,7.076472206910451,2.8938085799415907,1.32663045078516
72,72,11.706653217474619,5.310168993473053,1.8052936663230261
73,73,9.45441571076711,4.239842284719149,1.78607081224521
74,74,13.82290149529775,6.562038705746333,2.262159584959348
75,75,14.705232973893484,6.080570299426714,2.4082824180523557
76,76,18.211951982975005,8.384901558359465,2.954430579642455
77,77,17.039273913701376,7.280540109674136,2.9357566982507706
78,78,12.374379607041677,6.324451892574628,2.507302521665891
79,79,24.77036325534185,9.321101275086402,3.308753788471222
80,80,17.518957018852234,8.96036866903305,3.5854741553465526
81,81,18.394446768363316,9.764366088310878,3.4208621859550474
82,82,19.98672589858373,10.728691065311432,4.062167284886042
83,83,20.078264886140822,7.083624750375748,3.0431675935784974
84,84,17.52668904662132,8.606961458921432,3.2333473612864814
85,85,17.78635405699412,8.35924402376016,3.1047006199757257
86,86,13.495399061838786,6.619610553979873,2.713487500945727
87,87,24.875873523950577,11.116547297437986,3.8692380567391713
88,88,34.264131633440655,12.213373126586278,4.646821000178655
89,89,23.63697806696097,10.725233791271846,4.197412878274918
90,90,25.395220325887202,14.413895842432975,5.221033579111099
91,91,25.314199444651603,9.199030642708143,4.234059464931488
92,92,32.49149011075497,14.194893076022465,5.298308505614599
93,93,24.318513028820355,11.2509502718846,5.172260869542757
94,94,29.426820915937423,14.751561171809833,5.315093529224396
95,95,844.8464528401693,479.36272894640763,127.42734292348226
96,96,315.5565258026123,353.61059385240077,108.41740570068359
97,97,163.835000928243,171.46639226575692,52.34569524129232
98,98,95.60425939559937,95.49703855117163,28.994103940327964
99,99,51.94485672314962,61.13022914131482,17.848098691304525
100,100,20.494376635551454,18.8310946504275,6.587539303302765
101,101,16.25620275338491,15.69535664319992,4.790217526753744
102,102,14.105420074860255,10.194594884912172,3.502392554283142
103,103,11.355964490771294,9.308315788706144,3.1313652634620666
104,104,11.192143273353576,11.715477052330971,3.5277562737464905
105,105,8.119786801934243,7.427179885903994,2.7767621874809265
106,106,5.205145490169525,4.636150787274043,1.9498077342907587
107,107,3.853906617561976,4.031224313378334,1.7336067140102387
108,108,5.372554003198942,5.034280983606974,1.8589932203292847
109,109,3.7994320333003997,3.381605655948321,1.5069617559512456
110,110,3.125821034113566,2.103995711604754,1.2207652658224106
111,111,1.8950364907582602,1.789423824350039,1.0438946336507797
112,112,2.0853908956050873,1.7531066666046777,1.0028930753469467
113,113,2.5575982302427294,2.272408050298691,1.113313509027163
114,114,2.6703973491986592,2.9631009608507157,1.2360574086507161
115,115,2.526398213704427,2.0945414870977404,1.124344312151273
116,116,3.0701440383990604,2.419451904296875,1.15936652024587
117,117,2.2507950286070506,1.4818508257468541,0.9867724041144054
118,118,1.7482037931680678,1.36018148958683,0.9382442116737366
119,119,1.729348707695802,1.452961834271749,0.9694274306297302
