target_contribution,lambda_slow,lambda_fast,log_loss,auc,calib_error
0.01,0.0033315898672808676,0.0035939159410527015,0.5870517842909869,0.653119290179318,0.01365788779071733
0.05,0.01665794933640434,0.01796957970526351,0.6148885681348688,0.6538212450246293,0.012860958894093829
0.1,0.03331589867280868,0.03593915941052702,0.739631968386033,0.6575596908527885,0.012390309118757062
0.25,0.0832897466820217,0.08984789852631754,1.5745656946126152,0.6561624967894212,0.01259498023519329
0.5,0.1665794933640434,0.17969579705263508,3.2772150179919075,0.6650718913900242,0.01880349905350629
