variant,learner,log_loss,auc,brier,pr_auc,mean_abs_logit,calib_error
A_bce_only,working,0.5895208909231073,0.6563072632716334,0.19360550361521103,0.4522216121005452,1.5462318904259627,0.012844587671990489
A_bce_only,fast,0.5828884769888485,0.6561181702773373,0.19267683520036585,0.4519965870005231,1.4858119452700895,0.013848627268099316
B_slow_only,working,0.6577973260599024,0.6562961090520566,0.19874779792392955,0.44997657453644546,2.1806742619065678,0.01130717547734578
B_slow_only,fast,0.647503384772469,0.6559284055401202,0.1984100210316041,0.4502573730007261,2.090396348167868,0.013267882664998369
C_fast_only,working,0.6693101665552925,0.6587595377212301,0.19988573035773108,0.452196679848331,2.2917720184606662,0.01194743181209938
C_fast_only,fast,0.6574137210845947,0.6582098731943005,0.1992346004528158,0.4526010065501433,2.19377942646251,0.012649952210632025
D_full_sftl,working,0.9728589899399701,0.6588653432097593,0.21760749378625086,0.45326341297753686,6.6487219473894905,0.014426262172998165
D_full_sftl,fast,0.962760725442101,0.6582707070489938,0.21802922382074244,0.45458984155754273,6.304012249497807,0.011092723252726536
