method,seed_avg_mean_ll,mean_delta_vs_ops,imp_wt_delta_vs_ops,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,n_days,sign_test_p,worst_day_delta,loo_reverses_sign
OPS,0.6082879612353486,,,,,,,,,,
Reset-ONS,0.6081204709635234,-0.00016749027182525467,-0.00016766875200128022,-0.0002177654193770001,-0.0001250030727051804,True,15.0,15.0,6.103515625e-05,-2.445663062322634e-05,False
Persistent-ONS,0.6081176512053438,-0.0001703100300048943,-0.00017039369553909422,-0.00022047024620926577,-0.00012772949484431565,True,15.0,15.0,6.103515625e-05,-3.135253995456555e-05,False
AP-OPS,0.6081160166876569,-0.00017194454769170847,-0.0001718857649285244,-0.0002202279459523145,-0.0001314493816748645,True,15.0,15.0,6.103515625e-05,-4.642070336491333e-05,False
No-slope,0.608285475993066,-2.485242282738535e-06,6.049912370281307e-07,-5.278742755023584e-05,4.731989493753079e-05,False,6.0,15.0,0.6072387695312499,0.00015539467242042804,True
