origin,eta,halflife,seed,inner_loss
16,10.0,3.0,0,0.6043384159976569
16,10.0,5.0,0,0.6043384051494699
16,10.0,10.0,0,0.6043383983561038
16,30.0,3.0,0,0.6043384848760701
16,30.0,5.0,0,0.6043384521727574
16,30.0,10.0,0,0.6043384316768912
16,60.0,3.0,0,0.6043385894346244
16,60.0,5.0,0,0.6043385235537044
16,60.0,10.0,0,0.6043384822154997
16,150.0,3.0,0,0.6043389119985894
16,150.0,5.0,0,0.6043387437746188
16,150.0,10.0,0,0.604338637845642
16,1000000.0,3.0,0,0.6044664833236074
16,1000000.0,5.0,0,0.6044664833236074
16,1000000.0,10.0,0,0.6044664833236074
17,10.0,3.0,0,0.6067052438897247
17,10.0,5.0,0,0.6067052546000674
17,10.0,10.0,0,0.6067052694898395
17,30.0,3.0,0,0.6067050366830579
17,30.0,5.0,0,0.6067050685850459
17,30.0,10.0,0,0.6067051130578135
17,60.0,3.0,0,0.606704728085969
17,60.0,5.0,0,0.606704791201669
17,60.0,10.0,0,0.6067048795565969
17,150.0,3.0,0,0.6067038183075236
17,150.0,5.0,0,0.6067039709145496
17,150.0,10.0,0,0.6067041873553857
17,1000000.0,3.0,0,0.6068436969777811
17,1000000.0,5.0,0,0.6068436969777811
17,1000000.0,10.0,0,0.6068436969777811
18,10.0,3.0,0,0.611122026789326
18,10.0,5.0,0,0.6111221094137572
18,10.0,10.0,0,0.6111221855843347
18,30.0,3.0,0,0.6111211146539386
18,30.0,5.0,0,0.6111213616475615
18,30.0,10.0,0,0.6111215895269354
18,60.0,3.0,0,0.6111197529462775
18,60.0,5.0,0,0.6111202442919471
18,60.0,10.0,0,0.6111206981513523
18,150.0,3.0,0,0.6111157147539338
18,150.0,5.0,0,0.6111169232648519
18,150.0,10.0,0,0.611118043629575
18,1000000.0,3.0,0,0.6111334688783459
18,1000000.0,5.0,0,0.6111334688783459
18,1000000.0,10.0,0,0.6111334688783459
19,10.0,3.0,0,0.6144596031201107
19,10.0,5.0,0,0.6144598410346835
19,10.0,10.0,0,0.6144600355254506
19,30.0,3.0,0,0.6144574610153001
19,30.0,5.0,0,0.6144581697330395
19,30.0,10.0,0,0.6144587502089628
19,60.0,3.0,0,0.6144542774454633
19,60.0,5.0,0,0.6144556798403332
19,60.0,10.0,0,0.6144568318168153
19,150.0,3.0,0,0.6144449387150638
19,150.0,5.0,0,0.6144483326707512
19,150.0,10.0,0,0.6144511455782765
19,1000000.0,3.0,0,0.6143444499459755
19,1000000.0,5.0,0,0.6143444499459755
19,1000000.0,10.0,0,0.6143444499459755
20,10.0,3.0,0,0.612475965615957
