origin,mix_eta,mix_halflife,persist_half_life,ap_ops_cfg,lambda_ap
16,150.0,3.0,hl16,lam0.75_tau4,0.75
17,150.0,3.0,hl16,lam0.75_tau16,0.75
18,150.0,3.0,hl16,lam0.75_tau4,0.75
19,150.0,3.0,hl16,lam0.75_tau4,0.75
20,1000000.0,3.0,hl16,lam0.75_tau4,0.75
21,150.0,3.0,hl16,lam0.75_tau4,0.75
22,150.0,3.0,hl16,lam0.75_tau4,0.75
23,150.0,3.0,hl16,lam0.75_tau4,0.75
24,150.0,3.0,hl16,lam0.75_tau4,0.75
25,150.0,3.0,hl16,lam0.75_tau4,0.75
26,150.0,3.0,hl16,lam0.75_tau4,0.75
27,150.0,3.0,hl16,lam0.75_tau4,0.75
28,150.0,3.0,hl16,lam0.25_tauinf,0.25
29,150.0,3.0,hl16,lam0.25_tauinf,0.25
30,150.0,3.0,hl16,lam0.25_tauinf,0.25
