day,expanding,rolling_1,rolling_3,rolling_7,rolling_14
4,0.20108111202716827,0.20108111202716827,0.20108111202716827,0.20108111202716827,0.20108111202716827
5,0.23350471258163452,0.15271079540252686,0.146903395652771,0.23350471258163452,0.23350472748279572
6,0.23360557854175568,0.1462399810552597,0.15291376411914825,0.2336055487394333,0.2336053103208542
7,0.2081764191389084,0.19274142384529114,0.18373651802539825,0.20817643404006958,0.20817597210407257
8,0.19329531490802765,0.20878596603870392,0.21132700145244598,0.19329534471035004,0.19329553842544556
9,0.19954751431941986,0.21064665913581848,0.2051820009946823,0.18510837852954865,0.19954778254032135
10,0.19152933359146118,0.20931200683116913,0.21060560643672943,0.19670481979846954,0.19152934849262238
11,0.16387490928173065,0.281889408826828,0.20806851983070374,0.18239790201187134,0.16387464106082916
12,0.15652215480804443,0.28600141406059265,0.19119854271411896,0.20999480783939362,0.15652213990688324
13,0.1621273010969162,0.21102379262447357,0.22903500497341156,0.23565351963043213,0.16212739050388336
14,0.16899548470973969,0.21923473477363586,0.21335850656032562,0.2293296605348587,0.16899549961090088
15,0.18093615770339966,0.2174280881881714,0.19484882056713104,0.2260304093360901,0.1809358447790146
16,0.17130979895591736,0.2282503992319107,0.20472145080566406,0.21921426057815552,0.17595461010932922
17,0.1646938920021057,0.24023470282554626,0.19733713567256927,0.22695958614349365,0.17044952511787415
18,0.13697411119937897,0.23721928894519806,0.21890369057655334,0.25398075580596924,0.1529003381729126
19,0.15746170282363892,0.23554201424121857,0.2250220775604248,0.20658428966999054,0.1756146252155304
20,0.17639203369617462,0.20380017161369324,0.2261040359735489,0.21017669141292572,0.18328377604484558
21,0.1763812005519867,0.21231968700885773,0.2116265594959259,0.2276790887117386,0.17114800214767456
22,0.1991460621356964,0.2249990850687027,0.17803840339183807,0.19655141234397888,0.2015048712491989
23,0.19349099695682526,0.22045862674713135,0.20164495706558228,0.195156067609787,0.18958121538162231
24,0.19372466206550598,0.2356005162000656,0.19545605778694153,0.19720643758773804,0.1779840886592865
25,0.19929414987564087,0.24541109800338745,0.2056816667318344,0.19052250683307648,0.15834924578666687
26,0.19898267090320587,0.22777192294597626,0.20617353916168213,0.17741067707538605,0.1885336935520172
27,0.2031387835741043,0.21545955538749695,0.20377755165100098,0.1860966831445694,0.19165322184562683
28,0.21796190738677979,0.19911183416843414,0.19858023524284363,0.197501540184021,0.1867704689502716
29,0.1730078011751175,0.2062010020017624,0.19741377234458923,0.21198637783527374,0.2103569507598877
30,0.1719934195280075,0.1928100436925888,0.1919245570898056,0.21179890632629395,0.2314780205488205
