day,alpha,alpha_oracle,oracle_headroom
5,0.5,0.1,0.00014698538311785914
6,0.2,0.6,0.0001482034939668253
7,0.4,0.5,8.594140917028703e-06
8,0.4,0.5,1.8043506949450006e-05
9,0.5,0.6,1.609768124577471e-05
10,0.6,0.1,0.00018830297177996336
11,0.5,1.0,0.00042649443878328697
12,0.7,0.4,7.540899756752761e-05
13,0.7,0.3,0.00019566285317940135
14,0.6,0.5,1.1170126457571428e-05
15,0.4,0.7,0.00011712310420364247
16,0.5,0.8,7.833394253364823e-05
17,0.7,1.0,0.00024527119761574845
18,0.9,0.9,0.0
19,0.9,0.5,0.00032708098748535086
20,0.8,0.6,3.562054347261423e-05
21,0.7,0.5,4.211593099157085e-05
22,0.6,0.8,6.52720991424216e-05
23,0.6,0.7,2.855625500619574e-05
24,0.7,0.8,3.819035512842017e-05
25,0.8,0.8,0.0
26,0.8,0.6,9.967664854071412e-05
27,0.7,0.6,1.4649033015845525e-05
28,0.7,0.7,0.0
29,0.6,0.6,0.0
30,0.6,0.8,4.8469670505202345e-05
