day,mean_alpha,std_alpha
4,0.5,0.0
5,0.4384441077709198,0.009286819957196712
6,0.4520222544670105,0.009205681271851063
7,0.5326813459396362,0.0055962540209293365
8,0.5270566344261169,0.005768812261521816
9,0.5273288488388062,0.004909041803330183
10,0.537874698638916,0.005587471183389425
11,0.5116714835166931,0.0034312098287045956
12,0.5804175734519958,0.008106041699647903
13,0.5726611614227295,0.007872037589550018
14,0.5484743714332581,0.005913870874792337
15,0.5061600804328918,0.002801136113703251
16,0.520159900188446,0.003935935441404581
17,0.5403591394424438,0.005597314797341824
18,0.6064403057098389,0.011512679047882557
19,0.6116417050361633,0.011515992693603039
20,0.5541285276412964,0.006818823516368866
21,0.5677447319030762,0.008139990270137787
22,0.5658847689628601,0.007908184081315994
23,0.5828571915626526,0.00833476334810257
24,0.5694733262062073,0.006652682088315487
25,0.5809969902038574,0.007640344090759754
26,0.5832450985908508,0.007901781238615513
27,0.539070188999176,0.0039011265616863966
28,0.5373046398162842,0.0035833055153489113
29,0.5531201362609863,0.005004100035876036
30,0.538140058517456,0.004791902378201485
