day,eta,half_life
6,0.009316860045425581,74.39707982951495
7,0.009316860045425581,74.39707982951495
8,0.009316860045425581,74.39707982951495
9,0.009316860045425581,74.39707982951495
10,0.009316860045425581,74.39707982951495
11,0.009316860045425581,74.39707982951495
12,0.009316860045425581,74.39707982951495
13,0.009316860045425581,74.39707982951495
14,0.009316860045425581,74.39707982951495
15,0.009316860045425581,74.39707982951495
16,0.009316860045425581,74.39707982951495
17,0.009316860045425581,74.39707982951495
18,0.009316860045425581,74.39707982951495
19,0.009316860045425581,74.39707982951495
20,0.014330581999183151,48.36839010442527
21,0.009316860045425581,74.39707982951495
22,0.009316860045425581,74.39707982951495
23,0.009316860045425581,74.39707982951495
24,0.009316860045425581,74.39707982951495
25,0.009316860045425581,74.39707982951495
26,0.011741662664992818,59.03313698719425
27,0.009316860045425581,74.39707982951495
28,0.009316860045425581,74.39707982951495
29,0.009316860045425581,74.39707982951495
30,0.009316860045425581,74.39707982951495
