day,expanding,rolling_1,rolling_3,rolling_7,rolling_14
4,0.2,0.2,0.2,0.2,0.2
5,0.19998951152556593,0.2000257867164354,0.20000567870686858,0.19998951152556593,0.19998951152556593
6,0.2000345074121707,0.1999129764236084,0.19998350133989784,0.2000345074121707,0.2000345074121707
7,0.1999981824019523,0.19998751866870085,0.20001793412548052,0.1999981824019523,0.1999981824019523
8,0.19998989876813922,0.20001168980570377,0.2000186138898996,0.19998989876813922,0.19998989876813922
9,0.19996851430906448,0.2000507063031428,0.20002087637820612,0.1999913887005363,0.19996851430906448
10,0.1999700764058738,0.20004606416808773,0.20003464023158452,0.1999791427885907,0.1999700764058738
11,0.19998308580459748,0.20010401088980417,0.19997436842461144,0.1999554490764169,0.19998308580459748
12,0.1999001984462433,0.20013653312249047,0.20006463584453868,0.19999843414050578,0.1999001984462433
13,0.19995598486544194,0.19998523359467513,0.20003993594504962,0.2000628607293829,0.19995598486544194
14,0.1999621927257352,0.20004948239509246,0.20000328195833345,0.20002285019508947,0.1999621927257352
15,0.1999687700579434,0.20006249279122446,0.20000004769079294,0.19999991940208683,0.1999687700579434
16,0.1999473694936655,0.20008557429183035,0.20002080706296832,0.19999087146319938,0.19995537768833063
17,0.1999238319219045,0.200094376952621,0.200023017087172,0.20002755852677886,0.19993121551152135
18,0.19986653864048876,0.20003700873179975,0.20009951117327363,0.2000821892810417,0.19991475217340351
19,0.19986241997707915,0.20014411107059044,0.20005418199500455,0.20004110353758167,0.19989818341974058
20,0.19993317382719483,0.20002564677590096,0.20002789369886012,0.20004060391953987,0.19997268177850003
21,0.19993889729695236,0.20004819484297115,0.20001589480106866,0.20003424154771562,0.1999627715112953
22,0.19993810678722795,0.20006809922325847,0.2000109281816958,0.20001563327422123,0.19996723253360338
23,0.1999406562513929,0.20004798192232975,0.20003125381209058,0.20001692727376227,0.19996318074043173
24,0.19994319516747783,0.20003480158860149,0.20003146089473073,0.2000185960143545,0.19997194633484028
25,0.19989176447717924,0.20004688903153095,0.20005339531414384,0.20003926429602287,0.19996868688112676
26,0.19989174598519838,0.2000927227575225,0.20004273271017234,0.2000144383678401,0.19995836017928004
27,0.1999741291853238,0.19999947246671557,0.2000297700115366,0.20001297063766305,0.19998365769876333
28,0.19998726309921339,0.199987711957686,0.20002205487173866,0.2000129289644282,0.19999004110694038
29,0.19996631563859008,0.1999969766988598,0.20001082839033982,0.2000207630444502,0.2000051162277644
30,0.19994979913976835,0.19997412808842951,0.200002803347965,0.20003500255681084,0.20003826686702386
