day,selected_window
7,expanding
8,expanding
9,rolling_7
10,rolling_3
11,rolling_3
12,rolling_3
13,rolling_3
14,rolling_3
15,rolling_3
16,rolling_3
17,rolling_7
18,rolling_7
19,rolling_7
20,expanding
21,expanding
22,expanding
23,rolling_3
24,rolling_3
25,rolling_3
26,rolling_3
27,rolling_3
28,expanding
29,expanding
30,expanding
31,rolling_3
32,rolling_3
33,rolling_3
34,rolling_3
35,rolling_3
36,rolling_3
37,rolling_7
38,rolling_7
39,rolling_7
40,rolling_7
41,expanding
42,expanding
43,expanding
44,rolling_3
45,rolling_3
46,rolling_3
47,rolling_3
48,expanding
49,expanding
50,expanding
51,rolling_3
52,rolling_3
53,rolling_3
54,rolling_3
55,rolling_3
56,rolling_7
57,rolling_7
58,rolling_7
59,rolling_7
60,rolling_7
61,rolling_7
62,rolling_7
63,rolling_7
64,rolling_7
65,rolling_7
66,rolling_7
67,expanding
68,expanding
69,expanding
70,rolling_3
71,rolling_3
72,rolling_3
73,expanding
74,expanding
75,expanding
76,expanding
77,expanding
78,expanding
79,expanding
80,rolling_3
81,rolling_3
82,rolling_3
83,rolling_7
84,rolling_7
85,rolling_7
86,rolling_7
87,rolling_7
88,rolling_7
89,rolling_7
90,rolling_7
91,rolling_7
92,expanding
93,expanding
94,expanding
95,rolling_3
96,rolling_3
97,rolling_3
98,rolling_3
99,rolling_3
100,rolling_3
101,rolling_7
102,rolling_7
103,rolling_7
104,rolling_7
105,rolling_7
106,rolling_7
107,expanding
108,expanding
109,expanding
110,expanding
111,expanding
112,rolling_3
113,rolling_3
114,rolling_3
115,rolling_3
116,rolling_7
117,rolling_7
118,rolling_7
119,rolling_7
