ablation,setting,imp_wt_ll
carryover_rho,0.0,0.3884393524176961
carryover_rho,0.5,0.38839014934493016
carryover_rho,1.0,0.38834939344507335
delay_sec,0,0.38841320936743173
delay_sec,900,0.3884393524176961
delay_sec,1800,0.3884393524176961
delay_sec,3600,0.3884393524176961
update_granularity,impression,0.3882986605552275
update_granularity,block_900,0.3884570361967807
update_granularity,block_1800,0.3884393524176961
update_granularity,block_3600,0.3884393524176961
chronology,real,0.3884393524176961
chronology,shuffled,0.3884128085640716
long_term_backbone,expanding,0.38826968875719187
long_term_backbone,equal,0.38792340079877696
long_term_backbone,adaptive,0.3884393524176961
calib_complexity,intercept,0.3884393524176961
calib_complexity,platt,0.3880442551981696
