method,day,b_end,a_end
short_only,5,0.032588705163328575,1.0
short_only,6,0.018801095545773777,1.0
short_only,7,-0.0762250819153816,1.0
short_only,8,-0.02656803419953395,1.0
short_only,9,-0.0399939257308829,1.0
combined,5,0.006305783957966546,1.0
combined,6,-0.020878950369552646,1.0
combined,7,-0.04979897545086223,1.0
combined,8,-0.018122484994941547,1.0
combined,9,-0.05555564358904247,1.0
online_platt,5,0.00893962582549578,1.026193035136731
online_platt,6,-0.012897900916104403,1.0455048224948214
online_platt,7,-0.014151286229264252,1.0653268120681039
online_platt,8,0.0058263817108830385,1.0414088962850458
online_platt,9,-0.020154588655945174,1.0659183506026073
