day,block,n,mean_residual
5,0,14327,-0.006368449112999517
5,1,16139,0.0007483425975211566
5,2,19973,0.003885445401708654
5,3,22274,0.010433208130279498
5,4,30178,0.014234057914223929
5,5,34114,0.005168769829567297
5,6,35768,0.007413971626341111
5,7,40049,0.002489596074463459
5,8,38271,0.007776170947742533
5,9,40455,0.007729378464903634
5,10,43912,0.004617241402989078
5,11,48155,0.008821181747307396
5,12,47614,0.015714932968071898
5,13,47198,0.016075006755022835
5,14,46713,0.009118244867268203
5,15,41192,0.0081145879051536
5,16,39984,0.00419210363375161
5,17,36599,-0.002596335711209257
5,18,30903,-0.008762315915459
5,19,23458,-0.011142022563308835
5,20,20444,-0.009897128646339603
5,21,16387,-0.016435753246235123
5,22,17941,-0.005139466412810022
5,23,15380,-0.0021780328393564505
6,0,12583,0.0026536573804829527
6,1,15119,0.01398131156492881
6,2,16965,-0.00030384852655847066
6,3,24007,-0.005498949886821253
6,4,27338,0.002004590980577306
6,5,33675,0.00915078969501048
6,6,34504,0.005993782675909885
6,7,32467,0.003513944484660536
6,8,32836,0.010481186357272021
6,9,30797,0.010359343463594295
6,10,20163,-0.0028416205856947236
6,11,23351,0.011111379871679726
6,12,33274,0.01003551296725113
6,13,34669,0.010834312646038343
6,14,21097,0.007580467198541958
6,15,20437,0.010437813404929724
6,16,35857,-0.003984953698460783
6,17,46887,-0.012802239285521391
6,18,40306,-0.025215498087668084
6,19,31362,-0.023020838939435198
6,20,21454,-0.02626570682826329
6,21,18648,-0.023234361492537138
6,22,18791,-0.021179183443905285
6,23,17452,-0.008286832167674089
