method,block,n,mean_residual,log_loss
expanding,0,53309,-0.00845921136376229,0.4108958273641654
expanding,1,62586,-0.0036331063794306797,0.4169153852794869
expanding,2,83021,-0.00790335586030366,0.3932655866914559
expanding,3,94438,-0.005458242975105806,0.40215247619305505
expanding,4,130145,-0.004402750517589113,0.35092376847242607
expanding,5,112310,-0.003950521881557134,0.38267530911518477
expanding,6,104485,-0.006652656674595221,0.3942463031744884
expanding,7,118829,-0.006415133992316533,0.4046963129249683
expanding,8,131971,-0.0073177188218210626,0.3714009868198059
expanding,9,142017,-0.009378998183797147,0.3724580174117216
expanding,10,139551,-0.01641498596794935,0.3768876824059049
expanding,11,127444,-0.009517242067456506,0.39832190862303435
expanding,12,143200,-0.012324524889860498,0.3918200034401658
expanding,13,175647,-0.011656344384742346,0.37014622674952996
expanding,14,173838,-0.008345544294451132,0.3799201403723956
expanding,15,143240,-0.008399845921122766,0.41049736218531907
expanding,16,134837,-0.011087476493815971,0.4073188554759396
expanding,17,123566,-0.013986608130164634,0.3958887194590118
expanding,18,104888,-0.01706085385122604,0.39521970764313413
expanding,19,92017,-0.015495156516358747,0.38675283167985813
expanding,20,79361,-0.013705805756143673,0.3888903020718414
expanding,21,74966,-0.012661473029128607,0.3953018589274808
expanding,22,63082,-0.015358374367908333,0.3820022069502051
expanding,23,58516,-0.009983609847515517,0.393256729017663
long_only,0,53309,-0.005165161716739166,0.41016868838793463
long_only,1,62586,-0.0011084195532141364,0.41582091920087677
long_only,2,83021,-0.0057031303824540205,0.3928937944516483
long_only,3,94438,-0.003154966958516382,0.40155845397411805
long_only,4,130145,-0.009973846835085029,0.35042332033179474
long_only,5,112310,-0.00407238845295836,0.3813428523744164
long_only,6,104485,-0.00595527467388194,0.39300786920260355
long_only,7,118829,-0.00429316470783801,0.4038202709857258
long_only,8,131971,-0.01196103705891088,0.3729211668038979
long_only,9,142017,-0.015153074824470585,0.37384639192445346
long_only,10,139551,-0.017000198048113195,0.3770209119974014
long_only,11,127444,-0.008757769470144637,0.3991766011653738
long_only,12,143200,-0.009294726441736395,0.39171491902235483
long_only,13,175647,-0.008423699134615764,0.37022928719830994
long_only,14,173838,-0.005101898912789022,0.37938320527098346
long_only,15,143240,-0.005089096870319312,0.4103775705036431
long_only,16,134837,-0.008085199013199158,0.40722320475082596
long_only,17,123566,-0.012469151423031932,0.396495049633785
long_only,18,104888,-0.014945924152620662,0.39559920804157805
long_only,19,92017,-0.013430060240833012,0.3875183672182374
long_only,20,79361,-0.01105871980900876,0.39002015169970305
long_only,21,74966,-0.009418437765041254,0.39591550067665243
long_only,22,63082,-0.01297887819834382,0.3825979066698374
long_only,23,58516,-0.006435516774334036,0.39530529408433057
short_only,0,53309,-0.00845921136376229,0.4108958273641654
short_only,1,62586,-0.00328862448444054,0.4169057967100138
short_only,2,83021,-0.007476700026759115,0.3932566608975502
short_only,3,94438,-0.0047446609706789135,0.4021292320652355
short_only,4,130145,-0.003672685058289769,0.3508932712328188
short_only,5,112310,-0.0028984646892585846,0.3826346576863672
short_only,6,104485,-0.0054367474912587095,0.3941493237708119
short_only,7,118829,-0.004981765898798222,0.404622126853765
short_only,8,131971,-0.005752778089150718,0.37129326129896223
short_only,9,142017,-0.007585008205710939,0.37232273989641745
short_only,10,139551,-0.014363688295736948,0.3766575100862383
short_only,11,127444,-0.006833482686921172,0.39812357844344104
short_only,12,143200,-0.009384401259525381,0.39152297183226253
short_only,13,175647,-0.008356347048149188,0.3698209753967759
short_only,14,173838,-0.004804808858041612,0.37972470604686887
short_only,15,143240,-0.004506564644435973,0.41029848785913864
short_only,16,134837,-0.006917451221976834,0.4069837706939969
short_only,17,123566,-0.00952015894494979,0.3954093852769812
short_only,18,104888,-0.012241472805661967,0.3945884061496008
short_only,19,92017,-0.010413307920491393,0.3861382002566437
short_only,20,79361,-0.008238994208355383,0.38829072419945104
short_only,21,74966,-0.006702393418984574,0.39473776687159756
short_only,22,63082,-0.009638753206521593,0.3813857345528691
short_only,23,58516,-0.003936784980693576,0.39285635467665936
combined,0,53309,-0.005165161716739166,0.41016868838793463
combined,1,62586,-0.0009081906637544068,0.41581244485264707
combined,2,83021,-0.005530139889363865,0.3929125098259756
combined,3,94438,-0.00270947272686697,0.4015668421050702
combined,4,130145,-0.009506236623842434,0.350388723612203
combined,5,112310,-0.0032729361426370833,0.3813082281222355
combined,6,104485,-0.005040536132667283,0.39296237267831935
combined,7,118829,-0.003287842638834275,0.4037917615176354
combined,8,131971,-0.010841341551309723,0.3728012946981022
combined,9,142017,-0.013548643328245999,0.3736622348784074
combined,10,139551,-0.015045419449760882,0.3768125480444772
combined,11,127444,-0.006065992736596007,0.3990044809260976
combined,12,143200,-0.006424654547411704,0.391516532270288
combined,13,175647,-0.005429128312799689,0.3700373557902603
combined,14,173838,-0.0019348862725083954,0.37928695752168723
combined,15,143240,-0.0016157830476165092,0.41028543963932373
combined,16,134837,-0.004455333654777,0.40701217468977197
combined,17,123566,-0.008675278986333456,0.39615008478227953
combined,18,104888,-0.010761700729038601,0.3951707261471712
combined,19,92017,-0.009028150779441541,0.3871119148575992
combined,20,79361,-0.006384743393501874,0.38965003992248115
combined,21,74966,-0.004323535996208404,0.3956225790132679
combined,22,63082,-0.007965538301094737,0.3821368108107651
combined,23,58516,-0.0012895546949484096,0.3950583479942595
time_of_day,0,53309,-0.0022417244128450807,0.41009723904270545
time_of_day,1,62586,-0.0068013491680148485,0.4160695153949588
time_of_day,2,83021,-0.003156902797078824,0.39310518802134353
time_of_day,3,94438,-0.0027143665214897066,0.40167752429263676
time_of_day,4,130145,-0.014385358550745199,0.35079974228364813
time_of_day,5,112310,-0.008732659949988453,0.381562150320942
time_of_day,6,104485,-0.008628972946854566,0.39327871457025976
time_of_day,7,118829,-0.005367943457189251,0.4038565017290982
time_of_day,8,131971,-0.01316020080463305,0.37365436323750023
time_of_day,9,142017,-0.014494522801700408,0.3746167333227884
time_of_day,10,139551,-0.01304905108474977,0.3766554657955891
time_of_day,11,127444,-0.012633721589182672,0.3997265130435458
time_of_day,12,143200,-0.016184085166043197,0.392579506712832
time_of_day,13,175647,-0.01510243450779135,0.3710539770418632
time_of_day,14,173838,-0.009559725862190073,0.3796259457739529
time_of_day,15,143240,-0.009906190612604334,0.4106250189196041
time_of_day,16,134837,-0.006479467050588711,0.4071750579539855
time_of_day,17,123566,-0.003402930520112956,0.3959734773039486
time_of_day,18,104888,0.002258249297298539,0.3947651094227578
time_of_day,19,92017,0.0029264190584119935,0.38684428325358733
time_of_day,20,79361,0.004871492618219509,0.38966553815014054
time_of_day,21,74966,0.007784468344954785,0.3958321554101728
time_of_day,22,63082,-0.0005797132936812878,0.3819575096360577
time_of_day,23,58516,-0.0012291081386238496,0.39521321434665907
