method,imp_wt_ll,daily_ll,worst_day,brier,ece
online_platt,0.3880442551981696,0.3890538602627796,0.4055964915283089,0.12006955658891745,0.00957468957535046
equal_ensemble,0.3881250756590648,0.38916162692948286,0.40598123860247376,0.12001951146989598,0.012813944936555254
oracle_intercept,0.388249611545653,0.3892545805547644,0.40580037593873153,0.12012794294871298,0.011673037110708964
short_only,0.38826968875719187,0.3893321306564676,0.4062465380417021,0.12007241334605125,0.011040276171417849
combined,0.3884393524176961,0.3894347320839197,0.40605727254065804,0.12011381120422406,0.011419930066214154
expanding,0.38851838575547226,0.389554401125983,0.40636092112914646,0.12012909612506799,0.01239114009310706
rolling_7,0.3885672152861091,0.38960695916668936,0.4064827495614567,0.12014773175043575,0.01307312988024671
rolling_3,0.38860733177117873,0.3895939495712624,0.40629295110444297,0.12014506265703306,0.0127157368159352
long_only,0.38860733177117873,0.3895939495712624,0.40629295110444297,0.12014506265703306,0.0127157368159352
time_of_day,0.3887639301260266,0.3897213393667871,0.40618749882353083,0.12020248816802073,0.012678467773010411
