day,beta,beta_std,beta_A,beta_B
4,0.2689414322376251,0.0,0.2689414322376251,0.2689414322376251
5,0.2637542188167572,0.01989702321588993,0.260781854391098,0.266872763633728
6,0.6020148396492004,0.057079046964645386,0.5915320515632629,0.6124279499053955
7,0.8036046624183655,0.04596488177776337,0.7920935750007629,0.8144018650054932
8,0.7420579195022583,0.04347315803170204,0.7279506325721741,0.7559783458709717
9,0.37766414880752563,0.020204151049256325,0.3674396574497223,0.3879159390926361
10,0.18886244297027588,0.013281706720590591,0.18542294204235077,0.19226998090744019
11,0.3492691218852997,0.013511828146874905,0.34232378005981445,0.355871319770813
12,0.6372001767158508,0.02816215343773365,0.6273824572563171,0.6471232175827026
13,0.5550968647003174,0.0218123160302639,0.5467408299446106,0.5637130737304688
14,0.19952230155467987,0.014478994533419609,0.19808216392993927,0.20100732147693634
15,0.052616365253925323,0.011222456581890583,0.05374590680003166,0.051504746079444885
16,0.021260736510157585,0.006563667673617601,0.022377673536539078,0.020190460607409477
17,0.013521486893296242,0.005083298776298761,0.014235013164579868,0.01285221055150032
18,0.0115859629586339,0.004547270480543375,0.012306328862905502,0.010912071913480759
19,0.013011207804083824,0.0050232443027198315,0.013709760271012783,0.012348943389952183
20,0.014290143735706806,0.004991769324988127,0.015215500257909298,0.01326738204807043
21,0.02180158905684948,0.006395439151674509,0.023045238107442856,0.02055959589779377
22,0.03921237960457802,0.009695461019873619,0.04187460243701935,0.03655015304684639
23,0.06735792011022568,0.012168260291218758,0.0709538608789444,0.06409137696027756
24,0.11344189196825027,0.013786070980131626,0.11809033155441284,0.10864867269992828
25,0.21720166504383087,0.01283823512494564,0.22355110943317413,0.21092791855335236
26,0.5866434574127197,0.039359867572784424,0.588874340057373,0.5843615531921387
27,0.8189948201179504,0.038002632558345795,0.8172423243522644,0.8207732439041138
28,0.8292438387870789,0.03772256150841713,0.8261774182319641,0.8324015736579895
29,0.7402312755584717,0.0416238009929657,0.7347114086151123,0.7456346154212952
30,0.6611249446868896,0.038203079253435135,0.6572849154472351,0.6650216579437256
31,0.7249912023544312,0.03487546369433403,0.7197706699371338,0.7302961349487305
32,0.825041651725769,0.030443156138062477,0.819770872592926,0.8300787806510925
33,0.8771061301231384,0.02343614213168621,0.8742552995681763,0.8798453211784363
34,0.8856419920921326,0.020005151629447937,0.8828825354576111,0.8884912729263306
35,0.8496721386909485,0.01967206969857216,0.8469194769859314,0.8524654507637024
36,0.7748966217041016,0.016755588352680206,0.7718849182128906,0.7778409123420715
37,0.7159130573272705,0.013236131519079208,0.7132341861724854,0.7185670137405396
38,0.6676677465438843,0.010865960270166397,0.6655288934707642,0.6697951555252075
39,0.6947293281555176,0.011375349014997482,0.6913073062896729,0.6980791091918945
40,0.8210500478744507,0.015181364491581917,0.8161309957504272,0.8257887959480286
41,0.9135423302650452,0.013847663067281246,0.909680962562561,0.9176207780838013
42,0.9491864442825317,0.01178699266165495,0.9457188844680786,0.9526910185813904
43,0.9601842164993286,0.010432272218167782,0.9569942951202393,0.9633743762969971
44,0.960471510887146,0.01042951364070177,0.9576041102409363,0.963577926158905
45,0.9504459500312805,0.01244667824357748,0.9470750689506531,0.9539173245429993
46,0.933162271976471,0.014725933782756329,0.9289494156837463,0.937302827835083
47,0.9077069759368896,0.01550775021314621,0.9032151103019714,0.9120981097221375
48,0.8591957092285156,0.017023267224431038,0.852131187915802,0.8660652041435242
49,0.7912395596504211,0.015725331380963326,0.7827768921852112,0.7994247078895569
50,0.6976547837257385,0.012252036482095718,0.6891247034072876,0.706532895565033
51,0.5786937475204468,0.012431510724127293,0.5711005926132202,0.5864714980125427
52,0.5592602491378784,0.011967632919549942,0.5521177053451538,0.5663838386535645
53,0.6152238845825195,0.008029017597436905,0.6086834073066711,0.6215837001800537
54,0.7032203674316406,0.011879700236022472,0.6973485946655273,0.7093974947929382
55,0.8152384161949158,0.01732654869556427,0.810164749622345,0.8205332159996033
56,0.8546526432037354,0.018589016050100327,0.8495635390281677,0.8596810102462769
57,0.8348738551139832,0.019355295225977898,0.8291680216789246,0.8405950665473938
58,0.7516772747039795,0.018710751086473465,0.7441861629486084,0.759422242641449
59,0.7006929516792297,0.01731359213590622,0.6936432123184204,0.7076399326324463
60,0.7365882396697998,0.019959013909101486,0.7313255667686462,0.7419643402099609
61,0.7535743713378906,0.020626453682780266,0.7498710751533508,0.7573776841163635
62,0.7089852094650269,0.01785026304423809,0.7059886455535889,0.7120421528816223
63,0.6760050654411316,0.014532206580042839,0.6745291948318481,0.6775007247924805
64,0.653364896774292,0.01164585817605257,0.6518092751502991,0.6548957824707031
65,0.6444212198257446,0.010159841738641262,0.6434657573699951,0.6454156637191772
66,0.6585078239440918,0.010813465341925621,0.6571290493011475,0.6598503589630127
67,0.6465466618537903,0.010327765718102455,0.6453560590744019,0.6477044224739075
68,0.7845326066017151,0.018616359680891037,0.780211329460144,0.7887967228889465
69,0.929866373538971,0.014023414812982082,0.926887571811676,0.9326307773590088
70,0.9743033647537231,0.007668633945286274,0.9725167751312256,0.9761729836463928
71,0.9844037890434265,0.00540716340765357,0.9829887747764587,0.985874593257904
72,0.9847868084907532,0.00541880214586854,0.983350396156311,0.9862619638442993
73,0.9795770049095154,0.006469023413956165,0.9780967235565186,0.9810751080513
74,0.9632154107093811,0.010049969889223576,0.9602400064468384,0.9664388298988342
75,0.9312931895256042,0.013345647603273392,0.9263736605644226,0.9359883666038513
76,0.8772588968276978,0.01554022915661335,0.8703347444534302,0.8840368986129761
77,0.8259987831115723,0.015186239033937454,0.8171849250793457,0.8345578908920288
78,0.781603991985321,0.014477645978331566,0.7720382213592529,0.7909930348396301
79,0.7213361263275146,0.0139436861500144,0.711418092250824,0.731148898601532
80,0.699249267578125,0.0124494768679142,0.6901172995567322,0.7082362771034241
81,0.7124963998794556,0.010779101401567459,0.70489501953125,0.7198978066444397
82,0.7169830203056335,0.009489255957305431,0.7113275527954102,0.7226686477661133
83,0.7499768733978271,0.010625198483467102,0.7456117868423462,0.7542840838432312
84,0.7425521016120911,0.010748720727860928,0.7386260628700256,0.746483325958252
85,0.6049023270606995,0.005072011146694422,0.6018599271774292,0.6078647971153259
86,0.4683096408843994,0.009476066567003727,0.46715208888053894,0.46949854493141174
87,0.5355164408683777,0.005209971219301224,0.5332462787628174,0.5377655029296875
88,0.7141149640083313,0.020437603816390038,0.7115954160690308,0.7166582345962524
89,0.7926360964775085,0.025380974635481834,0.7915734648704529,0.793648898601532
90,0.8297944068908691,0.02408921904861927,0.8274897336959839,0.8320324420928955
91,0.9283510446548462,0.015251947566866875,0.9259294271469116,0.9307027459144592
92,0.9742117524147034,0.007559341378509998,0.9727020263671875,0.9757893681526184
93,0.9846304655075073,0.005050817038863897,0.9837417006492615,0.9854899048805237
94,0.983449399471283,0.0051999324932694435,0.9823687076568604,0.9845300912857056
95,0.9746390581130981,0.006994358263909817,0.9728109240531921,0.9764502048492432
96,0.9585798978805542,0.00885653868317604,0.9562408924102783,0.9609063863754272
97,0.9278960227966309,0.011104553937911987,0.9241927266120911,0.9317247271537781
98,0.9183008670806885,0.010985438711941242,0.9140170812606812,0.9223729372024536
99,0.9297712445259094,0.010085354559123516,0.9263618588447571,0.9333673119544983
100,0.9350213408470154,0.010098234750330448,0.9311515092849731,0.9387891292572021
101,0.925652027130127,0.010603142902255058,0.9217086434364319,0.9295639991760254
102,0.8947309851646423,0.01223752647638321,0.8899891972541809,0.8998540639877319
103,0.8555796146392822,0.011961833573877811,0.8502084016799927,0.8608095049858093
104,0.8740492463111877,0.012155775912106037,0.8692068457603455,0.8790424466133118
105,0.9212296605110168,0.011178846471011639,0.917022168636322,0.9252078533172607
106,0.9473382830619812,0.009247017093002796,0.9444463849067688,0.950157880783081
107,0.9516290426254272,0.009287520311772823,0.9488043785095215,0.9545223712921143
108,0.9457852244377136,0.010236193425953388,0.9428195953369141,0.948723316192627
109,0.9281818270683289,0.01181249599903822,0.9247594475746155,0.931572437286377
110,0.9034519791603088,0.013072105124592781,0.8990244269371033,0.9079689979553223
111,0.8737233281135559,0.014075272716581821,0.869304358959198,0.8781306147575378
112,0.8987477421760559,0.01295887678861618,0.8943699598312378,0.9030848145484924
113,0.9304883480072021,0.011158288456499577,0.9272133111953735,0.93378084897995
114,0.9374501705169678,0.010388133116066456,0.9342278242111206,0.9405543208122253
115,0.928027331829071,0.011001183651387691,0.9251505136489868,0.9309701323509216
116,0.9032225608825684,0.01246670912951231,0.8996750116348267,0.9068177342414856
117,0.8708643913269043,0.013200391083955765,0.8666571974754333,0.8751338124275208
118,0.847535252571106,0.012561510317027569,0.8435579538345337,0.851539134979248
119,0.8737273216247559,0.012381471693515778,0.8694881200790405,0.8781043291091919
