day,mean_alpha
4,0.10871428571428572
5,0.10871428571428574
6,0.10869397794413445
7,0.10887610481774321
8,0.10946329797893534
9,0.11056016025039436
10,0.11129510725277043
11,0.11149468855452499
12,0.11105935164724937
13,0.11072033394658887
14,0.11043222915483034
15,0.11043307202039954
16,0.110287195542648
17,0.11048423500814888
18,0.11087750505314976
19,0.1106881678409588
20,0.10937739218530931
21,0.10813067678097686
22,0.10739267072561891
23,0.10812784617211753
24,0.10986561732202238
25,0.11146960349215565
26,0.11156697605379856
27,0.11023978242860617
28,0.10873255993191698
29,0.10719993153632322
30,0.10688933287494112
31,0.10765557477483977
32,0.1085168458833636
33,0.10831455025470672
34,0.10728971540814299
35,0.10565893982749686
36,0.10388644553642894
37,0.1037484060783088
38,0.10495629128796781
39,0.10640705881788631
40,0.10649787647514847
41,0.10512378067482316
42,0.10320523684284941
43,0.10130809145294865
44,0.09997689794135739
45,0.10050409968349311
46,0.10166151714544677
47,0.10102129447503605
48,0.09987660770533507
49,0.0980826932011523
50,0.09630897755976074
51,0.09569948620265668
52,0.09691670968100094
53,0.09811390979674356
54,0.09853452951507238
55,0.09698171745138134
56,0.09499248648632166
57,0.09272538867814643
58,0.09205638353996787
59,0.09283741335169512
60,0.09394505110180189
61,0.09387536740174769
62,0.09232465037794606
63,0.09072329242711683
64,0.08922054251342795
65,0.08929692265168222
66,0.08992060583756438
67,0.09141587923247409
68,0.09191043474634956
69,0.09011899660747826
70,0.08839996858857375
71,0.08644841217019329
72,0.08572948535351549
73,0.08624629495492078
74,0.0873776738979757
75,0.08756879444328544
76,0.08604144730339419
77,0.08391507205315135
78,0.08199990698824547
79,0.08173032147975111
80,0.08210821326789271
81,0.08291356029027083
82,0.08319380284584349
83,0.0817798099130876
84,0.07999913172581254
85,0.07865837785015013
86,0.07806251541224127
87,0.07845796761840189
88,0.07915272158556541
89,0.07904500042743441
90,0.07858134682041348
91,0.07662800862921468
92,0.07500327243487515
93,0.07440014049052665
94,0.07511310605638066
95,0.07633865162690877
96,0.07638133210042634
97,0.07556745865280094
98,0.07370807871489496
99,0.07189242998421436
100,0.07091737754899737
101,0.07134473442331882
102,0.0723237989420214
103,0.07224507043116585
104,0.07095194276480725
105,0.06961633437504425
106,0.06787105695867421
107,0.06732654661252492
108,0.06755420519818355
109,0.06874076151472908
110,0.06890881826969779
111,0.06827425125906549
112,0.06666880163912127
113,0.06508357734915896
114,0.06455625903796242
115,0.06495473286144547
116,0.06578172152750375
117,0.0654462620739603
118,0.06467005036121296
119,0.06295902992440024
