day,beta,beta_std,beta_A,beta_B
4,0.2689414322376251,0.0,0.26894140243530273,0.2689414322376251
5,0.1941240280866623,0.018660062924027443,0.19627077877521515,0.19200289249420166
6,0.3805401921272278,0.017712239176034927,0.3801495432853699,0.3809211850166321
7,0.7631299495697021,0.020949430763721466,0.7584591507911682,0.7679527997970581
8,0.932237446308136,0.016276128590106964,0.9279618263244629,0.9362372159957886
9,0.9427657723426819,0.01646445505321026,0.9388135671615601,0.9466397166252136
10,0.8593418002128601,0.027213525027036667,0.8510820269584656,0.8676457405090332
11,0.5414058566093445,0.019528616219758987,0.5283880829811096,0.5535188913345337
12,0.6656365394592285,0.02746473252773285,0.651128351688385,0.6798573732376099
13,0.848294734954834,0.027163662016391754,0.8382534384727478,0.8584033250808716
14,0.8840251564979553,0.02529817447066307,0.8748827576637268,0.8933272957801819
15,0.8479902148246765,0.026910366490483284,0.8368101716041565,0.8595186471939087
16,0.7068694829940796,0.028414733707904816,0.6902483701705933,0.7239396572113037
17,0.5455428957939148,0.02325613610446453,0.5269727110862732,0.5642372369766235
18,0.4777361750602722,0.02034195326268673,0.4610379636287689,0.4937582314014435
19,0.4075968563556671,0.02057322859764099,0.3948676586151123,0.41981056332588196
20,0.30774354934692383,0.023560665547847748,0.30082497000694275,0.31455227732658386
21,0.21454349160194397,0.02448308654129505,0.21202510595321655,0.21688061952590942
22,0.18116210401058197,0.02389996312558651,0.18151937425136566,0.18081285059452057
23,0.18063829839229584,0.023714888840913773,0.18189145624637604,0.17939184606075287
24,0.19401849806308746,0.022228777408599854,0.19630543887615204,0.19182710349559784
25,0.23273469507694244,0.02061241865158081,0.23563475906848907,0.22989964485168457
26,0.28898391127586365,0.01572396233677864,0.29161536693573,0.2862740755081177
27,0.33400505781173706,0.011949339881539345,0.3380284607410431,0.32995471358299255
28,0.3382377028465271,0.011740566231310368,0.34341609477996826,0.33265024423599243
29,0.300053209066391,0.01317201554775238,0.30565136671066284,0.29472464323043823
30,0.24801619350910187,0.016425887122750282,0.2538483142852783,0.24205832183361053
31,0.2457687109708786,0.016778649762272835,0.25126245617866516,0.24003542959690094
32,0.2930377721786499,0.014199134893715382,0.2989327311515808,0.28705573081970215
33,0.3739756643772125,0.009192309342324734,0.3793341815471649,0.3684132695198059
34,0.49430665373802185,0.010784422978758812,0.4980112314224243,0.4905221164226532
35,0.5363240838050842,0.012899366207420826,0.538934588432312,0.5336926579475403
36,0.5414823293685913,0.01227644830942154,0.5419154167175293,0.5410628914833069
