method,seed_avg_mean_ll,mean_delta_vs_ops,imp_wt_delta_vs_ops,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,n_days,sign_test_p,worst_day_delta,loo_reverses_sign
Current OPS,0.38848870812508784,,,,,,,,,,
AP-OPS,0.3882187607064514,-0.00026994741863637744,-0.0002717455187251616,-0.00029584028723328437,-0.00023453808144757726,True,3.0,3.0,0.25,-0.00023453808144757726,False
Single-memory,0.38831283997007676,-0.000175868155011046,-0.00017382112272118757,-0.00022367661776684367,-0.00013633000743967782,True,3.0,3.0,0.25,-0.00013633000743967782,False
No-slope,0.38876583077484145,0.0002771226497536398,0.00029288725682551753,0.00017401279055562213,0.00043667385939355485,True,0.0,3.0,0.25,0.00043667385939355485,False
