method,mean_imp_wt_ll,std_across_seeds,mean_pre_feedback_ll,mean_first_quarter_ll,mean_worst_day_ll,mean_delta_vs_ops,ci95_lo,ci95_hi,sign_test_p,frac_seed_days_won,n_seed_days,worst_seed_day_delta
Current OPS,0.3874432394592488,5.824582096290715e-05,0.40830406501405037,0.38567352429044793,0.40600333247895354,,,,,,,
AP-OPS,0.3871714939405237,7.047023994955105e-05,0.40778806698751247,0.38535899573718346,0.40576879439750596,-0.0002699474186363096,-0.00030552754206804913,-0.0002378099226211227,0.00390625,1.0,9.0,-0.00018995550950590134
Single-memory ablation,0.38726941833652767,6.755124885073599e-05,0.4078365561647755,0.3855460348954382,0.40586700247151386,-0.0001758681550109843,-0.00022547411658430615,-0.00013511958071063437,0.00390625,1.0,9.0,-9.468160159636918e-05
No-slope ablation,0.3877361267160744,6.93174299924957e-05,0.408205133003019,0.3857975689683722,0.4062240137782653,0.00027712264975367066,0.00020575765471851436,0.0003569468727251828,0.00390625,0.0,9.0,0.0004671096773142258
