method,is_test,day,n,log_loss,brier,ece,clicks
expanding,False,16,477680,0.6114460192241064,0.21158604635026237,0.022822165412859537,178684
expanding,False,17,450258,0.6191332884684798,0.21502445274168336,0.02853481804410394,172509
expanding,False,18,538532,0.6168589850794923,0.21398793902310678,0.018097982178042028,204091
expanding,False,19,582350,0.6058770520131638,0.2090357366592545,0.013133765183850368,212241
expanding,False,20,552965,0.6075018631319351,0.20975319824939623,0.011769683078378923,202913
expanding,False,21,562085,0.6069442569306462,0.2095141743302405,0.014264551145292388,205782
expanding,True,22,528347,0.6086285675723723,0.21030677211953297,0.013101104593031727,195055
expanding,True,23,506792,0.6085714392032008,0.21030464175285044,0.010295755793858023,186589
expanding,True,24,436408,0.6155365662640803,0.21347517572546965,0.020026308267561292,164916
expanding,True,25,507128,0.612758407397628,0.2121882490685444,0.017363652890642584,188189
expanding,True,26,581336,0.6000305409141455,0.20642555271384866,0.008862687011747772,206145
expanding,True,27,518487,0.6029768680310758,0.20777983059015884,0.01163775810878842,185940
expanding,True,28,459375,0.6074785105415562,0.20976803332594435,0.011447979889703409,168527
expanding,True,29,493827,0.6091070882587667,0.21056804840417293,0.013697448451867914,185143
expanding,True,30,468451,0.6100312647959804,0.21099301890523947,0.01319060529287422,176695
rolling_3,False,16,477680,0.6097690671723189,0.21080487464546782,0.007873891145994445,178684
rolling_3,False,17,450258,0.6171625966012426,0.2141436229665966,0.013395150392907779,172509
rolling_3,False,18,538532,0.6165142498750307,0.2138481096231624,0.01879868941192486,204091
rolling_3,False,19,582350,0.6063637583166391,0.20918398518149947,0.019107776459582792,212241
rolling_3,False,20,552965,0.6069395773091609,0.20950502735047927,0.008432061064721245,202913
rolling_3,False,21,562085,0.6063828546826011,0.20922978712701926,0.011503539451111551,205782
rolling_3,True,22,528347,0.6079295109779319,0.2100078783832661,0.004744217590015027,195055
rolling_3,True,23,506792,0.6080898405317446,0.21008025133043176,0.008526289875205696,186589
rolling_3,True,24,436408,0.6142578703800552,0.21292057483104876,0.014545089483690704,164916
rolling_3,True,25,507128,0.6116733473380134,0.21168726291217088,0.01021494453902099,188189
rolling_3,True,26,581336,0.60100881677978,0.20684435608972523,0.0234384168673929,206145
rolling_3,True,27,518487,0.6024332950886905,0.2075863059563575,0.009035244943386934,185940
rolling_3,True,28,459375,0.6071864997896134,0.2096253058144255,0.009836231318913709,168527
rolling_3,True,29,493827,0.6080060605756108,0.2100981478891155,0.008260930788484654,185143
rolling_3,True,30,468451,0.6092823259829018,0.2107065031592708,0.01667588941574237,176695
rolling_7,False,16,477680,0.6100244916060643,0.21094453110961764,0.013948670592503484,178684
rolling_7,False,17,450258,0.6170896861195407,0.21410573237584082,0.013360813979391114,172509
rolling_7,False,18,538532,0.6164641026516364,0.2138219660626128,0.01869500768664501,204091
rolling_7,False,19,582350,0.6053123430724372,0.20876636791166675,0.007933850114114769,212241
rolling_7,False,20,552965,0.6068285612968607,0.2094217620598376,0.008940589723230394,202913
rolling_7,False,21,562085,0.6060885210319525,0.20910833472320875,0.009039316438200504,205782
rolling_7,True,22,528347,0.6079428180911415,0.20997500592836874,0.007828714102790483,195055
rolling_7,True,23,506792,0.6082031174808469,0.21012228474480574,0.013069549283659485,186589
rolling_7,True,24,436408,0.6143470507233031,0.21296010949272387,0.01323460067097476,164916
rolling_7,True,25,507128,0.6114889712900445,0.21161038307354094,0.007726914183565459,188189
rolling_7,True,26,581336,0.5995073205383428,0.2061934156539003,0.01069143212412388,206145
rolling_7,True,27,518487,0.602580465509308,0.2075924554202791,0.012705740603916807,185940
rolling_7,True,28,459375,0.6070100625845478,0.20959216682049855,0.00809106542511733,168527
rolling_7,True,29,493827,0.6081716895818534,0.21019291323907202,0.013574847981828555,185143
rolling_7,True,30,468451,0.6090297410369855,0.21054139987416848,0.008944938066832596,176695
equal_ensemble,False,16,477680,0.610025448419447,0.2109415498661718,0.014915584458248962,178684
equal_ensemble,False,17,450258,0.6173923519413602,0.21425052395473695,0.018475890259906463,172509
equal_ensemble,False,18,538532,0.6163641168890982,0.2137816694187864,0.01880947060235084,204091
equal_ensemble,False,19,582350,0.6053278417278878,0.20876187023019047,0.009567288366160782,212241
equal_ensemble,False,20,552965,0.6066574709175806,0.20937030664816833,0.00882970435105961,202913
equal_ensemble,False,21,562085,0.6059911597985366,0.2090686030876786,0.010206678470234078,205782
equal_ensemble,True,22,528347,0.6077161664594225,0.20989804304000675,0.00689798857595726,195055
