day,longest_same_sign_run,n_blocks,residual_autocorr_lag1
16,33,96,0.5736846991534593
17,89,96,0.35177263909656725
18,81,96,0.4791367739987969
19,37,96,0.49887882683550494
20,17,96,0.5344146257302507
21,20,96,0.6530552845861974
