day,block,n,mean_residual
16,0,1066,0.006768434426143556
16,1,951,0.015730761096603135
16,2,860,0.015338079184567203
16,3,783,0.03364577342025157
16,4,677,0.013573062960245134
16,5,696,0.021302292076334484
16,6,668,0.009452398621232263
16,7,676,0.0010319923397647827
16,8,651,0.019535660311049773
16,9,658,0.014901269294654577
16,10,683,0.02996687359748715
16,11,724,0.017283272537113002
16,12,763,0.038121099473407805
16,13,845,0.011041036927615752
16,14,954,0.019988558470006572
16,15,1099,0.026375918383864383
16,16,1271,0.029583513868088118
16,17,1382,0.02843786822227103
16,18,1645,0.024146614013788637
16,19,1911,0.04432458757812322
16,20,2265,0.01139341729844968
16,21,2740,0.033075585686928685
16,22,3116,0.03673483241810408
16,23,3656,0.013288749576439007
16,24,3960,0.015890440127396287
16,25,4534,0.04202792235405987
16,26,4655,0.020986879950577488
16,27,5157,0.023939047903749792
16,28,5441,0.01970495569325334
16,29,5835,0.01408355010475734
16,30,5985,0.009268286301615896
16,31,6266,0.00826477571590818
16,32,6466,0.017449257091137246
16,33,6735,-0.00018672623930901595
16,34,6623,0.0035803720644894733
16,35,6580,0.007861716218335101
16,36,6651,0.00907275477603038
16,37,6636,0.0038682941516388326
16,38,6730,0.0042192902480448265
16,39,6648,-0.0016337395226836274
16,40,6656,0.0023360936727858934
16,41,6829,-0.002182968097362002
16,42,6967,0.006151916832010648
16,43,7033,0.0023957307082367913
16,44,6932,-0.005688331863583702
16,45,7188,-0.0020500238140739135
16,46,6829,-0.00014252337604292022
16,47,7257,0.003954575394028562
16,48,6968,0.011497210228420311
16,49,7180,-0.00840117323200042
16,50,6963,0.003989031713896058
16,51,5941,0.00506483690482559
16,52,6116,0.008509871901834512
16,53,6304,0.011490143610723522
16,54,6865,0.0009047041020086874
16,55,6840,0.014602671333967386
16,56,6572,0.0019134515512489857
16,57,6795,-0.002637305338076499
16,58,6727,-0.007901030165435328
16,59,6786,-0.00671374634823511
16,60,6674,0.003203618888940073
16,61,6657,0.0072738297071438095
16,62,6741,0.010743389052998278
16,63,6943,0.00819645183121175
16,64,6799,-0.004884162577099172
16,65,7062,0.004409346024119605
16,66,6842,0.009567899509212732
16,67,6999,0.012488141470740313
16,68,7031,0.013586887190809303
16,69,7038,0.01730847431498821
16,70,7246,0.01248589292219786
16,71,7501,0.006794786398970943
16,72,7043,0.01953533044131733
16,73,7294,0.018618342635274246
16,74,7234,0.01223112518501797
16,75,7529,0.010438933369790961
16,76,7284,0.024219798495843648
16,77,7494,0.008517330746135247
16,78,7221,0.020652845845790083
16,79,7425,0.026983151506232313
16,80,7101,0.021219622760028197
16,81,7033,0.01727545457773175
16,82,6868,0.01956393761084277
16,83,6771,0.015417088598157004
16,84,6263,0.02431423710591589
16,85,6015,0.029029582739236944
16,86,5309,0.03313220451850132
16,87,5181,0.02729962121966174
16,88,4566,0.029246251903654246
16,89,4050,0.0149920144215656
16,90,3715,0.027512803968365623
16,91,3266,0.0296971077857373
16,92,2423,0.029026587717057305
16,93,2254,0.016729980482153257
16,94,1822,0.029699025228813212
16,95,1596,0.020065863657627147
17,0,1301,0.010926330200194003
17,1,1071,0.04431121098125916
17,2,983,0.0038810756878323556
17,3,904,0.04283174576653536
17,4,761,0.02401559310058344
17,5,743,0.015413526407230227
17,6,727,-0.002079006093017352
17,7,647,0.008422439078897661
17,8,590,0.031160572219403816
17,9,588,0.030468827562900355
17,10,670,0.01547001689312306
17,11,719,0.05410943951252798
17,12,725,0.01483534199976258
17,13,704,0.014666152951015992
17,14,882,0.02683772071045872
17,15,952,0.03665911113830907
17,16,1066,0.039974901937310695
17,17,1105,0.03615880018677765
17,18,1252,0.03860089814434624
17,19,1435,0.04631088701421323
17,20,1637,0.034468384873571255
17,21,2012,0.0437586477570406
17,22,2340,0.032970770496509975
17,23,2577,0.02848101418743229
17,24,2879,0.04135767024368368
17,25,3213,0.029762460650257307
17,26,3549,0.03312463598902796
17,27,3979,0.038385826325197485
17,28,4230,0.02506803171839145
17,29,4477,0.025241465804446524
17,30,4830,0.02027549391891916
17,31,5143,0.02145213474427805
17,32,5320,0.01679083403292133
17,33,5530,0.01857307015657208
17,34,5701,0.01837910610806282
17,35,5917,0.017568160108652246
17,36,5652,0.006184225947829768
17,37,5967,0.00921975096628406
17,38,6041,0.015172463333860088
17,39,5873,0.004362676964012857
17,40,5887,0.006560549263247331
17,41,5945,0.020384007054966003
17,42,5923,0.0006096314359098767
17,43,5902,0.01814290374922183
17,44,5741,0.007781388417526298
17,45,5837,0.016299506651417453
17,46,5699,0.0006684047821186787
17,47,5666,0.016182390872361598
17,48,5593,0.0014951024611360338
17,49,5760,0.0014001675909849458
17,50,5913,0.016126192023726067
17,51,6053,0.006923177586264735
17,52,6048,0.019850475781490105
17,53,6283,0.009977201843884877
17,54,6256,0.016996408007204637
17,55,6308,0.005187874655558553
17,56,6142,0.018231648000707725
17,57,6452,0.015540657033576448
17,58,6515,0.018003493286470967
17,59,6603,0.01678685090220586
17,60,6614,0.023220843719647798
17,61,6823,0.019319191208027903
17,62,7029,0.024304394283794738
17,63,7119,0.00993323586355988
17,64,7041,0.019099236338340243
17,65,7260,0.01485860254826947
17,66,7257,0.018811943706084897
17,67,7375,0.014207537257115595
17,68,7441,0.01762473895397895
17,69,7407,0.014262296566587668
17,70,7555,0.021438365907748773
17,71,7740,0.012495125505539897
17,72,7574,0.02666956787990301
17,73,7547,0.018956774304613455
17,74,7614,0.013659191775949974
17,75,7627,0.02176572165189951
17,76,7637,0.014742894623971986
17,77,7410,0.02383276316148808
17,78,7421,0.018725934186662584
17,79,7443,0.017391203909946484
17,80,7166,0.01749840331660198
17,81,7145,0.021214737095050746
17,82,6982,0.020134115575031038
17,83,6711,0.011488539746035278
17,84,6339,0.0221065958286201
17,85,5950,0.035312024397499094
17,86,5601,0.013801170695172435
17,87,5335,0.02240542987714368
17,88,4691,0.018838187831461007
17,89,4620,0.009158599170005452
17,90,4218,0.010378026863797216
17,91,3771,0.024942180510453802
17,92,2876,0.01276772323562427
17,93,2570,0.009531925186164272
17,94,2189,0.009220969861073002
17,95,1942,0.0010010325355091973
18,0,1555,0.016110134981087095
18,1,1412,0.00948805594888315
18,2,1232,0.03347609090790205
18,3,1006,0.011743976328668701
18,4,938,0.014322128513625808
18,5,895,0.01921804476756919
18,6,781,0.002981114305245379
18,7,746,0.03446242005384574
18,8,712,0.03209641572914101
18,9,669,-0.0065276549822402595
18,10,700,0.029949859950227562
18,11,693,0.03434348236900646
18,12,746,0.04010877025214718
18,13,817,0.026883570087456718
18,14,825,-0.0022264570644475548
18,15,881,0.057558508018713546
18,16,991,0.0631118795218405
18,17,1121,0.019026997666474872
18,18,1247,0.02489373271706185
18,19,1431,0.05163958247589899
18,20,1753,0.05909593759352286
18,21,1889,0.036789891297049925
18,22,2192,0.028275536875163716
18,23,2500,0.047538385143533764
18,24,2857,0.037240954449880334
18,25,3232,0.036863508667902736
18,26,3731,0.0391394277316963
18,27,4022,0.03491254090562505
18,28,4472,0.048089439970304244
18,29,4815,0.05365632615951586
18,30,5472,0.03797461074592891
18,31,5829,0.03270823966066365
18,32,6094,0.03835410137080747
18,33,6593,0.02745425073444016
18,34,6923,0.025215811912865187
18,35,7039,0.021974223313692268
18,36,6998,0.01469407610264397
18,37,7212,0.02127790442441092
18,38,7330,0.015546472713490687
18,39,7540,0.0133422073242371
18,40,7378,0.016340457019010362
18,41,7215,0.00970630562895825
18,42,7434,0.01269729075263439
18,43,7137,0.01818556773425591
18,44,7131,0.013716585560289405
18,45,7002,0.01483125362221711
18,46,7108,0.016406444670441167
18,47,7201,0.011378427782572899
18,48,7075,0.015910463333824638
18,49,7018,0.0198044522887057
18,50,7112,0.012593922614792745
18,51,7127,0.012383082209933364
18,52,7067,0.017267272866789852
18,53,7317,0.013789411753143518
18,54,7467,0.011770122059508434
18,55,7650,0.019666711477292712
18,56,7568,0.02182705544925714
18,57,7620,0.004200029475384764
18,58,7753,0.0164901649082162
18,59,7855,0.0170219430620883
18,60,7928,0.017463612825085826
18,61,7971,0.02263147238878403
18,62,8109,0.010197722244836062
18,63,8547,0.016584668972470556
18,64,8566,0.01962360409246576
18,65,8815,0.017515605542974298
18,66,8691,0.015316553737219234
