method,block,n,mean_residual,log_loss
expanding,0,33668,0.013686160064933959,0.6182849572802759
expanding,1,24803,0.014446318422479862,0.6180698351733501
expanding,2,26273,0.019213760266828125,0.6145615861077719
expanding,3,39998,0.025888517241134393,0.6163773425167414
expanding,4,71492,0.023366117441599287,0.6158924643620686
expanding,5,129515,0.020378744318169398,0.6139502216163399
expanding,6,188502,0.01574208055104492,0.6114868009486883
expanding,7,229519,0.006755291420048812,0.6072796107417464
expanding,8,245943,0.0027709518227360644,0.6031286970042424
expanding,9,247125,0.0009408342589255276,0.6012373663843575
expanding,10,248221,-0.0026235409094901947,0.5999651657053824
expanding,11,249878,-0.0028957456931025423,0.6012006833052167
expanding,12,251193,0.002913358243126538,0.6043554187612622
expanding,13,242401,-4.241936701293017e-05,0.6023238200826847
expanding,14,229918,0.004189352011005874,0.603722981598173
expanding,15,234435,0.005696546412410195,0.6059248973885586
expanding,16,270188,0.008464206455203668,0.6060290764984496
expanding,17,288744,0.011071901075078326,0.6087657315702445
expanding,18,306349,0.013237527150360083,0.6109529248176139
expanding,19,308996,0.014112260118147221,0.6128561236195353
expanding,20,276318,0.016338177028696926,0.6156449576860755
expanding,21,200793,0.01838954412640172,0.6177290300420304
expanding,22,102921,0.01630248029173256,0.6181967024058117
expanding,23,52958,0.012191714871919114,0.6180013266945248
long_only,0,33668,0.00728742465629575,0.6173345799276054
long_only,1,24803,0.008734795059274464,0.6169331217214653
long_only,2,26273,0.013949283949334127,0.6133595115538274
long_only,3,39998,0.02068145536418673,0.6148702048015905
long_only,4,71492,0.017669890364561888,0.6144542278344156
long_only,5,129515,0.013804755623866943,0.6125941942455759
long_only,6,188502,0.008685096920544352,0.6102716074947316
long_only,7,229519,-0.000525826874287159,0.6063062243454831
long_only,8,245943,-0.004394911892475047,0.6021487176905904
long_only,9,247125,-0.006152572747310989,0.6005261449453577
long_only,10,248221,-0.009472450128450756,0.599361203673689
long_only,11,249878,-0.009707518089205296,0.6006162542224506
long_only,12,251193,-0.004028911220188441,0.6037202614115834
