ablation,setting,imp_wt_ll
carryover_rho,0.0,0.6070845776735196
carryover_rho,0.5,0.6070867212237004
carryover_rho,1.0,0.6070890607315051
delay_sec,0,0.6070220588888965
delay_sec,900,0.6070624289544367
delay_sec,1800,0.6070845776735196
delay_sec,3600,0.6071246146911415
update_granularity,impression,0.6070063486302268
update_granularity,block_900,0.6070845776735196
update_granularity,block_1800,0.6071810602834624
update_granularity,block_3600,0.6071041207628637
chronology,real,0.6070845776735196
chronology,shuffled,0.6070855001633199
long_term_backbone,expanding,0.6078669888894599
long_term_backbone,equal,0.6070950990194558
long_term_backbone,adaptive,0.6070845776735196
calib_complexity,intercept,0.6070845776735196
calib_complexity,platt,0.6069635378956659
