method,day,b_end,a_end
short_only,16,0.13907264780835632,1.0
short_only,17,0.1330385275620058,1.0
short_only,18,0.07015400981108438,1.0
short_only,19,0.05255783081298513,1.0
short_only,20,0.05397963710770067,1.0
short_only,21,0.0658647485523222,1.0
short_only,22,0.07153517145454126,1.0
short_only,23,0.05659342148929722,1.0
short_only,24,0.09358263956836023,1.0
short_only,25,0.05564122369182352,1.0
short_only,26,0.04358144530097401,1.0
short_only,27,0.061223282855049556,1.0
short_only,28,0.049767527473036866,1.0
short_only,29,0.05875895638253786,1.0
short_only,30,0.053040146595280266,1.0
combined,16,0.0904657023435853,1.0
combined,17,0.08119062720941876,1.0
combined,18,0.07105719178605617,1.0
combined,19,-0.01523194475338217,1.0
combined,20,0.017384985391058837,1.0
combined,21,0.012672412529835097,1.0
combined,22,0.02300084674700123,1.0
combined,23,0.004059359862824503,1.0
combined,24,0.07141012994778746,1.0
combined,25,0.024144672108460205,1.0
combined,26,-0.008523781627375656,1.0
combined,27,0.0212763804467943,1.0
combined,28,0.018024826589097556,1.0
combined,29,0.04933803422751681,1.0
combined,30,0.04197612409296138,1.0
online_platt,16,0.1127473249957499,1.0144167416639718
online_platt,17,0.08975473769403439,1.0161815937894663
online_platt,18,0.0814449668762426,1.02238331708778
online_platt,19,0.019779370569893793,1.0522547809516738
online_platt,20,0.043223803859472484,1.0306380904997061
online_platt,21,0.03825240679617477,1.0295294957428176
online_platt,22,0.04729141869349299,1.0273124325074672
online_platt,23,0.018114350089678266,1.0082620681552648
online_platt,24,0.0841901269270732,1.0176802177013684
online_platt,25,0.035602252953236165,1.0192883734920382
online_platt,26,0.015447970219577145,1.0252499016241934
online_platt,27,0.037419355580662096,1.0128012719339954
online_platt,28,0.04117551608144107,1.0353572937212925
online_platt,29,0.0748063234613697,1.0299878134610432
online_platt,30,0.0659976275279523,1.0270776046232002
