method,A_m (mean score),G_m (mean gain vs TTAM),gain_ci95_lo,gain_ci95_hi,mbb_ci95_lo,mbb_ci95_hi,origins_won_by_ttam,origins_lost_by_ttam,origins_tied,D,appendix_iw_log_loss,appendix_iw_log_loss_ttam,appendix_brier,appendix_brier_ttam,appendix_ece,appendix_ece_ttam
Without both modules,0.6084082486043828,0.0003793302720834557,0.0002983045054463233,0.0004727141003501893,0.00029008070520103457,0.0004710622931701987,15,0,0,15,0.6084082486043827,0.6080289183322992,0.21021735619134727,0.2100673622577244,0.010488901392794002,0.006125124488743184
AMG-TP only,0.6084008210424816,0.00037190271018224436,0.0002908853712986947,0.0004654140322696091,0.0002843330392638418,0.000460538387138224,15,0,0,15,0.6084008210424816,0.6080289183322992,0.21021390615402324,0.2100673622577244,0.010408065297377861,0.006125124488743184
AP-OPS only,0.6080311457803069,2.227448007655989e-06,-1.0039888498462415e-06,5.251678651834179e-06,-1.0044712564682978e-06,4.885470182390457e-06,11,4,0,15,0.608031145780307,0.6080289183322992,0.21006828014521056,0.2100673622577244,0.006131056637708565,0.006125124488743184
TTAM,0.6080289183322992,0.0,0.0,0.0,0.0,0.0,0,0,15,15,0.6080289183322992,0.6080289183322992,0.2100673622577244,0.2100673622577244,0.006125124488743184,0.006125124488743184
