a,b,mean_diff (a - b),ci95_lo,ci95_hi,mbb_ci95_lo,mbb_ci95_hi,a_better_days,D,ci_excludes_0
Expanding + AP-OPS,Expanding,-0.000667864348171469,-0.0008740365647537252,-0.0005036081084271115,-0.0009152292788307063,-0.00047043750746276537,15,15,True
TTAM,AMG-TP only,-0.00037190271018224436,-0.0004654140322696091,-0.00029088537129869476,-0.00046053838713822407,-0.0002843330392638418,15,15,True
AMG-TP only,Expanding,-0.0010739463610189256,-0.0012292310538566714,-0.0009260303359916979,-0.0012449280585972347,-0.0009074211243647805,15,15,True
TTAM,Expanding + AP-OPS,-0.000777984723029701,-0.0008582385519426161,-0.0007037873008138636,-0.0008648633611327331,-0.0006838041873126605,15,15,True
