day,method,n,log_loss,brier,ece,clicks
5,expanding,3835892,0.4257871257497624,0.13488520857715133,0.01031467953871938,702156
5,best_fixed_window,3835892,0.42480956648117185,0.13446649178970554,0.00936280294935446,702156
5,arw,3835892,0.42480956648117185,0.13446649178970554,0.00936280294935446,702156
5,adamoe,3835892,0.42519780234093124,0.13466839389089283,0.009847329378494167,702156
5,ops,3835892,0.42513423757509294,0.13464208072037623,0.009808033613974325,702156
5,amgtp_only,3835892,0.4252074894621227,0.1346752568146757,0.010116855665550878,702156
5,expanding_apops,3835892,0.4256917363167096,0.13485500484703047,0.009888166495583824,702156
5,ttam,3835892,0.4250407899317219,0.134614734978711,0.00942834739688956,702156
6,expanding,3225010,0.4184712177229137,0.13254134297188694,0.009668009645978404,585643
6,best_fixed_window,3225010,0.4168038455579425,0.13196014290529273,0.0073970417464024945,585643
6,arw,3225010,0.4168038455579425,0.13196014290529273,0.0073970417464024945,585643
6,adamoe,3225010,0.41735379758241026,0.1321745631730753,0.008915133463669537,585643
6,ops,3225010,0.4172309904363204,0.13214149953873972,0.008499788738310109,585643
6,amgtp_only,3225010,0.41731057482291045,0.13216890750542096,0.009411224575924826,585643
6,expanding_apops,3225010,0.41830556547251607,0.13249012871440982,0.008688546784849259,585643
6,ttam,3225010,0.4169589988736018,0.1320692622246105,0.007617581107446723,585643
7,expanding,5287222,0.3738584077360762,0.1150577896270913,0.011783484129699696,804622
7,best_fixed_window,5287222,0.3762762593628582,0.11551084754438808,0.014321323662928284,804622
7,arw,5287222,0.3762762593628582,0.11551084754438808,0.014321323662928284,804622
7,adamoe,5287222,0.37385834528847356,0.11495360295991838,0.014831850108935493,804622
7,ops,5287222,0.37303087859434814,0.11486014030939877,0.012188381445092225,804622
7,amgtp_only,5287222,0.3738258376201405,0.11494512775124638,0.014348474871198747,804622
7,expanding_apops,5287222,0.37326054075588044,0.11500373098871261,0.010843349500353221,804622
7,ttam,5287222,0.37279209503472865,0.1148283333236045,0.011017023236780868,804622
8,expanding,3832608,0.3856249226344048,0.11894205588840671,0.009615386240577997,600041
8,best_fixed_window,3832608,0.3854857697523924,0.1189176650074304,0.009166335656222125,600041
8,arw,3832608,0.3861753844523564,0.11911323135092898,0.007792809694795657,600041
8,adamoe,3832608,0.38519708349210297,0.11884380184250568,0.009988377072480023,600041
8,ops,3832608,0.3848832990264063,0.11882051231035655,0.0077859964457922285,600041
8,amgtp_only,3832608,0.3851724310435246,0.11884444758212119,0.009975409412658422,600041
8,expanding_apops,3832608,0.3852663828093675,0.11890814911907056,0.005885758015637547,600041
8,ttam,3832608,0.38470629049962346,0.11880012781510414,0.004666995885697673,600041
9,expanding,4218938,0.40653969340217516,0.12648168887101935,0.01088373702012979,714185
9,best_fixed_window,4218938,0.4067057346882559,0.12652975274402548,0.011082703123733734,714185
9,arw,4218938,0.4068581536376243,0.12648931309084518,0.015222505062013414,714185
9,adamoe,4218938,0.40599089119414067,0.1263376145334138,0.013628366245610698,714185
9,ops,4218938,0.40546542808255087,0.12625394066955337,0.010086257207657516,714185
9,amgtp_only,4218938,0.40591742769226996,0.12632468297102853,0.013264217857908163,714185
9,expanding_apops,4218938,0.40614874625884,0.12639389166214776,0.008617635591443577,714185
9,ttam,4218938,0.40512874689717165,0.12620346943824806,0.008607940363546906,714185
