day,selected_window
7,expanding
8,expanding
9,expanding
10,expanding
11,expanding
12,expanding
13,expanding
14,expanding
15,expanding
16,expanding
17,expanding
18,expanding
19,expanding
20,expanding
21,expanding
22,expanding
23,expanding
24,expanding
25,expanding
26,expanding
27,expanding
28,expanding
29,expanding
30,expanding
31,expanding
32,rolling_14
33,rolling_3
34,rolling_3
35,rolling_3
36,rolling_3
37,rolling_3
38,rolling_3
39,rolling_3
40,rolling_7
41,rolling_14
42,rolling_14
43,rolling_14
44,rolling_7
45,rolling_7
46,rolling_7
47,rolling_7
48,rolling_7
49,expanding
50,expanding
51,expanding
52,expanding
53,expanding
54,expanding
55,expanding
56,expanding
57,rolling_14
58,rolling_14
59,rolling_14
60,rolling_14
61,rolling_14
62,rolling_14
63,rolling_14
64,rolling_14
65,rolling_14
66,rolling_14
67,rolling_14
68,rolling_14
69,rolling_14
70,rolling_14
71,rolling_14
72,rolling_14
73,expanding
74,expanding
75,expanding
76,expanding
77,expanding
78,expanding
79,expanding
80,expanding
81,expanding
82,expanding
83,expanding
84,expanding
85,expanding
86,expanding
87,expanding
88,expanding
89,expanding
90,expanding
91,expanding
92,expanding
93,expanding
94,expanding
95,expanding
96,expanding
97,expanding
98,rolling_7
99,rolling_7
100,rolling_7
101,expanding
102,expanding
103,expanding
104,expanding
105,expanding
106,rolling_3
107,rolling_3
108,rolling_7
109,rolling_7
110,rolling_7
111,rolling_7
112,rolling_7
113,rolling_7
114,rolling_7
115,rolling_7
116,rolling_7
117,rolling_7
118,rolling_7
119,rolling_7
