regime,seed,config,beta,ll
s3c_recurring_p11,4,fixed_beta_0.00,0.0,0.44197160902934135
s3c_recurring_p11,4,fixed_beta_0.05,0.05,0.44124105182922474
s3c_recurring_p11,4,fixed_beta_0.10,0.1,0.4416415777146104
s3c_recurring_p11,4,fixed_beta_0.15,0.15,0.4425370719362923
s3c_recurring_p11,4,fixed_beta_0.20,0.2,0.44400494885354624
s3c_recurring_p11,4,fixed_beta_0.25,0.25,0.4413803178437138
s3c_recurring_p11,4,fixed_beta_0.30,0.3,0.4414781379991808
s3c_recurring_p11,4,fixed_beta_0.35,0.35,0.44084982637913595
s3c_recurring_p11,4,fixed_beta_0.40,0.4,0.44313864193096986
s3c_recurring_p11,4,fixed_beta_0.45,0.45,0.44274609186740777
s3c_recurring_p11,4,fixed_beta_0.50,0.5,0.441484033845165
s3c_recurring_p11,4,fixed_beta_0.55,0.55,0.43904629520335914
s3c_recurring_p11,4,fixed_beta_0.60,0.6,0.4397603862028387
s3c_recurring_p11,4,fixed_beta_0.65,0.65,0.4386768465950213
s3c_recurring_p11,4,fixed_beta_0.70,0.7,0.4383200339747834
s3c_recurring_p11,4,fixed_beta_0.75,0.75,0.43778249724889595
s3c_recurring_p11,4,fixed_beta_0.80,0.8,0.4378680075846643
s3c_recurring_p11,4,fixed_beta_0.85,0.85,0.4378603579525378
s3c_recurring_p11,4,fixed_beta_0.90,0.9,0.4390155660042638
s3c_recurring_p11,4,fixed_beta_0.95,0.95,0.4430285094404202
s3c_recurring_p11,4,fixed_beta_1.00,1.0,0.45151513563004847
s3c_recurring_p11,4,amgtp_adaptive,,0.43772626557377997
s3c_recurring_p11,4,m5b_smooth0.001,,0.4425332746238023
s3c_recurring_p11,4,m5b_smooth0.1,,0.43452790619034815
s3c_recurring_p11,4,ensemble3,,0.4357054276077193
