regime,seed,config,beta,ll
s3b_recurring_p9,31,fixed_beta_0.00,0.0,0.4427821300593507
s3b_recurring_p9,31,fixed_beta_0.05,0.05,0.4427272501058095
s3b_recurring_p9,31,fixed_beta_0.10,0.1,0.44255111201883596
s3b_recurring_p9,31,fixed_beta_0.15,0.15,0.44189572185914605
s3b_recurring_p9,31,fixed_beta_0.20,0.2,0.4417497559296263
s3b_recurring_p9,31,fixed_beta_0.25,0.25,0.4414528352656338
s3b_recurring_p9,31,fixed_beta_0.30,0.3,0.4419278677646875
s3b_recurring_p9,31,fixed_beta_0.35,0.35,0.44048987376368326
s3b_recurring_p9,31,fixed_beta_0.40,0.4,0.44148595485769243
s3b_recurring_p9,31,fixed_beta_0.45,0.45,0.4416303344580428
s3b_recurring_p9,31,fixed_beta_0.50,0.5,0.4413555339901733
s3b_recurring_p9,31,fixed_beta_0.55,0.55,0.4409005310449757
s3b_recurring_p9,31,fixed_beta_0.60,0.6,0.44127386704370547
s3b_recurring_p9,31,fixed_beta_0.65,0.65,0.4411873315812865
s3b_recurring_p9,31,fixed_beta_0.70,0.7,0.4410468109874243
s3b_recurring_p9,31,fixed_beta_0.75,0.75,0.44138968001436435
s3b_recurring_p9,31,fixed_beta_0.80,0.8,0.4420794846962743
s3b_recurring_p9,31,fixed_beta_0.85,0.85,0.4435044283145341
s3b_recurring_p9,31,fixed_beta_0.90,0.9,0.44561743395646375
s3b_recurring_p9,31,fixed_beta_0.95,0.95,0.4525226988294375
s3b_recurring_p9,31,fixed_beta_1.00,1.0,0.4637971303305624
s3b_recurring_p9,31,amgtp_adaptive,,0.44106953281791156
s3b_recurring_p9,31,m5b_smooth0.001,,0.44239310101433793
s3b_recurring_p9,31,m5b_smooth0.1,,0.438813437701029
s3b_recurring_p9,31,ensemble3,,0.43964082232386226
