regime,seed,config,beta,ll
s3_recurring,22,fixed_beta_0.00,0.0,0.44085863844820333
s3_recurring,22,fixed_beta_0.05,0.05,0.43874994524363703
s3_recurring,22,fixed_beta_0.10,0.1,0.44185246480814944
s3_recurring,22,fixed_beta_0.15,0.15,0.4387890103022683
s3_recurring,22,fixed_beta_0.20,0.2,0.44120258429676185
s3_recurring,22,fixed_beta_0.25,0.25,0.4398629706933334
s3_recurring,22,fixed_beta_0.30,0.3,0.4584931190494662
s3_recurring,22,fixed_beta_0.35,0.35,0.44571186244491257
s3_recurring,22,fixed_beta_0.40,0.4,0.43820261682609596
s3_recurring,22,fixed_beta_0.45,0.45,0.4495001225084285
s3_recurring,22,fixed_beta_0.50,0.5,0.4462528536905836
s3_recurring,22,fixed_beta_0.55,0.55,0.4412036480726205
s3_recurring,22,fixed_beta_0.60,0.6,0.439985256675176
s3_recurring,22,fixed_beta_0.65,0.65,0.4408103090570227
s3_recurring,22,fixed_beta_0.70,0.7,0.43927972684685174
s3_recurring,22,fixed_beta_0.75,0.75,0.4348551010996532
s3_recurring,22,fixed_beta_0.80,0.8,0.4345291390117946
s3_recurring,22,fixed_beta_0.85,0.85,0.4370721778079355
s3_recurring,22,fixed_beta_0.90,0.9,0.4361496628497252
s3_recurring,22,fixed_beta_0.95,0.95,0.43856142286460265
s3_recurring,22,fixed_beta_1.00,1.0,0.4439163140527921
s3_recurring,22,amgtp_adaptive,,0.43458908530029566
s3_recurring,22,m5b_smooth0.001,,0.4398362666416186
s3_recurring,22,m5b_smooth0.1,,0.43127740032807854
s3_recurring,22,ensemble3,,0.43380808637862656
