regime,seed,config,beta,ll
s7_opposing_recurring,3,fixed_beta_0.00,0.0,0.4383168531573425
s7_opposing_recurring,3,fixed_beta_0.05,0.05,0.4388260140547047
s7_opposing_recurring,3,fixed_beta_0.10,0.1,0.4392695091323424
s7_opposing_recurring,3,fixed_beta_0.15,0.15,0.43899260188384365
s7_opposing_recurring,3,fixed_beta_0.20,0.2,0.43941453953649073
s7_opposing_recurring,3,fixed_beta_0.25,0.25,0.43895951989785237
s7_opposing_recurring,3,fixed_beta_0.30,0.3,0.4394374754986463
s7_opposing_recurring,3,fixed_beta_0.35,0.35,0.4394680743232522
s7_opposing_recurring,3,fixed_beta_0.40,0.4,0.4389247942764526
s7_opposing_recurring,3,fixed_beta_0.45,0.45,0.4392007240106184
s7_opposing_recurring,3,fixed_beta_0.50,0.5,0.4388342267482521
s7_opposing_recurring,3,fixed_beta_0.55,0.55,0.43941622188093366
s7_opposing_recurring,3,fixed_beta_0.60,0.6,0.4392292474498525
s7_opposing_recurring,3,fixed_beta_0.65,0.65,0.4384612218252107
s7_opposing_recurring,3,fixed_beta_0.70,0.7,0.43961647648781504
s7_opposing_recurring,3,fixed_beta_0.75,0.75,0.44107855735041
s7_opposing_recurring,3,fixed_beta_0.80,0.8,0.4418995993765482
s7_opposing_recurring,3,fixed_beta_0.85,0.85,0.4412533092483772
s7_opposing_recurring,3,fixed_beta_0.90,0.9,0.44198605483724396
s7_opposing_recurring,3,fixed_beta_0.95,0.95,0.4463675071386774
s7_opposing_recurring,3,fixed_beta_1.00,1.0,0.45435882612708334
s7_opposing_recurring,3,amgtp_adaptive,,0.4383347509685865
s7_opposing_recurring,3,m5b_smooth0.001,,0.4380563714316575
s7_opposing_recurring,3,m5b_smooth0.1,,0.4356032311000005
s7_opposing_recurring,3,ensemble3,,0.43592645255479867
