regime,seed,config,beta,ll
s8_irregular_recurring,0,fixed_beta_0.00,0.0,0.4868995254073514
s8_irregular_recurring,0,fixed_beta_0.05,0.05,0.4749330823744957
s8_irregular_recurring,0,fixed_beta_0.10,0.1,0.485727557696451
s8_irregular_recurring,0,fixed_beta_0.15,0.15,0.4691986713740188
s8_irregular_recurring,0,fixed_beta_0.20,0.2,0.4792958490599391
s8_irregular_recurring,0,fixed_beta_0.25,0.25,0.4858281117177477
s8_irregular_recurring,0,fixed_beta_0.30,0.3,0.47992163367945306
s8_irregular_recurring,0,fixed_beta_0.35,0.35,0.4814223784386709
s8_irregular_recurring,0,fixed_beta_0.40,0.4,0.4784016846824413
s8_irregular_recurring,0,fixed_beta_0.45,0.45,0.47262111191587464
s8_irregular_recurring,0,fixed_beta_0.50,0.5,0.46409267845336927
s8_irregular_recurring,0,fixed_beta_0.55,0.55,0.4691784085629182
s8_irregular_recurring,0,fixed_beta_0.60,0.6,0.4720122624074541
s8_irregular_recurring,0,fixed_beta_0.65,0.65,0.4586992608211424
s8_irregular_recurring,0,fixed_beta_0.70,0.7,0.45119235587203244
s8_irregular_recurring,0,fixed_beta_0.75,0.75,0.4574480207403152
s8_irregular_recurring,0,fixed_beta_0.80,0.8,0.4521113338569342
s8_irregular_recurring,0,fixed_beta_0.85,0.85,0.4457318759703495
s8_irregular_recurring,0,fixed_beta_0.90,0.9,0.4534083401137317
s8_irregular_recurring,0,fixed_beta_0.95,0.95,0.4529199697080123
s8_irregular_recurring,0,fixed_beta_1.00,1.0,0.4540645583459351
s8_irregular_recurring,0,amgtp_adaptive,,0.44074858516030313
s8_irregular_recurring,0,m5b_smooth0.001,,0.4857934820250288
s8_irregular_recurring,0,m5b_smooth0.1,,0.46019898618753174
s8_irregular_recurring,0,ensemble3,,0.463439670321456
